Tweet,HS_Individual,HS_Group,Cleaned_Tweet,Tweet_list
RT USER USER USER PKI hanya muncul menjelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.,0,1,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,"['partai', 'komunis', 'indonesia', 'muncul', 'jelang', 'pilih', 'kepala', 'daerah', 'pilih', 'presiden', 'goreng', 'gosong']"
PENGGUNA PENGGUNA Itulah sebabnya nenek saya heran melihat kecebong selalu berbohong,1,0,nenek heran lihat kecebong bohong,"['nenek', 'heran', 'lihat', 'kecebong', 'bohong']"
"USER USER USER USER USER USER USER USER Islam Nusantara, produk JIL, dipasarkan secara agresif oleh antek-antek JIL.\n\nMeskipun JIL anti-Arab, namun pro-Aseng!\n\nAlmarhum KH. Hasyim Muzadi berkata,",0,1,islam nusantara produk jil pasar agresif antek antek jil jil anti arab pro asing almarhum kh hasyim muzadi,"['islam', 'nusantara', 'produk', 'jil', 'pasar', 'agresif', 'antek', 'antek', 'jil', 'jil', 'anti', 'arab', 'pro', 'asing', 'almarhum', 'kh', 'hasyim', 'muzadi']"
"“Staf penjaga lagi latihan, kayaknya aku kelihatan kotor, cuma kaos dan sepatu flat, aku minta dinilai oleh bajingan itu, aku malas membelinya, aku lari ke dalam matahari.""",0,1,staf jaga latih kayak lihat kotor kaos sepatu flat nilai bajing malas bel lari matahari,"['staf', 'jaga', 'latih', 'kayak', 'lihat', 'kotor', 'kaos', 'sepatu', 'flat', 'nilai', 'bajing', 'malas', 'bel', 'lari', 'matahari']"
Pernahkah anda belajar mengaji gan??? MULUT YANG INDAH MULUTNYA SEPERTI ORANG YANG TAK TERBATAS farhatabbaslaw',1,0,ajar aji juragan mulut indah mulut sepe i orang batas farhat abbas law,"['ajar', 'aji', 'juragan', 'mulut', 'indah', 'mulut', 'sepe', 'i', 'orang', 'batas', 'farhat', 'abbas', 'law']"
Baru kali ini Anjir melihat orang bodoh mau debat pilkada. Tugasnya adalah menyerang karakter tersebut. Malu kamu mpok silvy dan agus. #JKTPilkadaFinalDebate,0,1,kali anjir lihat orang bodoh debat pilih kepala daerah tugas serang karakter malu empok silvy agus jktpilkadafinaldebate,"['kali', 'anjir', 'lihat', 'orang', 'bodoh', 'debat', 'pilih', 'kepala', 'daerah', 'tugas', 'serang', 'karakter', 'malu', 'empok', 'silvy', 'agus', 'jktpilkadafinaldebate']"
KAMU TERPENDIDIKAN TINGGI TAPI BODOH....TIDAK ADA LARANGAN MEMBAWA AGAMA.. BIARKAN ORANG ISLAM YANG AHOK BAYAR TIDAK JADI PILIH AHOK GLA,1,0,didik bodoh larang bawa agama biar orang islam ahok bayar pilih ahok gila,"['didik', 'bodoh', 'larang', 'bawa', 'agama', 'biar', 'orang', 'islam', 'ahok', 'bayar', 'pilih', 'ahok', 'gila']"
"USER USER BTP yang terbaik,,,abaikan otak kecil...",0,1,ahok abai otak,"['ahok', 'abai', 'otak']"
"USER USER, shell brain tidak perlu diservis. Padahal lawannya semakin bodoh dan bodoh. Dan jika tidak, dia tidak akan makan. Ha ha'",1,0,shell brain servis lawan bodoh bodoh makan,"['shell', 'brain', 'servis', 'lawan', 'bodoh', 'bodoh', 'makan']"
"USER Awaasss... Jangan biarkan berita itu sampai ke telinga Anda! Nanti susah cari kosakatanya. Kalau sekedar ngomong, kamu julingkan mata, bibirmu mengarah ke samping, suaramu yang keluar seperti kentut… “politik itu kotor jaman sekarang!”. Kalau tau caranya.. Plng Sambil ky nhn ngeden..""bodoh!"". \xf0\x9f\x98\x8b",1,0,awaasss biar berita telinga susah cari kosakata bicara juling mata bibir arah samping suara sepe i kentut politik kotor jaman tau pulang ky nhn ngeden bodoh,"['awaasss', 'biar', 'berita', 'telinga', 'susah', 'cari', 'kosakata', 'bicara', 'juling', 'mata', 'bibir', 'arah', 'samping', 'suara', 'sepe', 'i', 'kentut', 'politik', 'kotor', 'jaman', 'tau', 'pulang', 'ky', 'nhn', 'ngeden', 'bodoh']"
Pinokio berumur 3 tahun. #2019GantiPresiden,1,0,pinokio umur 3 2019 ganti presiden,"['pinokio', 'umur', '3', '2019', 'ganti', 'presiden']"
PENGGUNA RT sangat membenci Muslim,0,1,benci muslim,"['benci', 'muslim']"
"USER USER USER ""Provokasi Mayat, Politisasi Agama"" Sebabkan Kekalahan Pilkada DKI, Begitulah Cebong Menggambarkan Kekalahan Tuannya.; FYI ahog tidak pernah mengikuti pemilu apa pun (kecuali menjadi wakil) dan dia bukan etnis mayoritas",1,0,provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong gambar kalah tuan for your information ahok pilih kecuali wakil etnis mayoritas,"['provokasi', 'mayat', 'politisasi', 'agama', 'kalah', 'pilih', 'kepala', 'daerah', 'daerah', 'khusus', 'ibukota', 'cebong', 'gambar', 'kalah', 'tuan', 'for', 'your', 'information', 'ahok', 'pilih', 'kecuali', 'wakil', 'etnis', 'mayoritas']"
PENGGUNA Loh rendahan',0,1,rendah,['rendah']
"PENGGUNA sudah terbiasa dengan hal itu. Aku kpoper tapi kalau ngobrol dengan teman-temanku, idolaku itu homo banci'",1,0,gemar korea pop obrol teman teman idola homo banci,"['gemar', 'korea', 'pop', 'obrol', 'teman', 'teman', 'idola', 'homo', 'banci']"
Gulingkan Jokowi Bajingan!!,1,0,guling jokowi bajing,"['guling', 'jokowi', 'bajing']"
"PENGGUNA RT: Bajingan homo!!!\nHati-hati dengan anak-anak kita, terutama di kamar mandi pria, jangan tinggalkan mereka sendirian! URL",1,0,bajing homo hati hati anak anak utama kamar mandi pria tinggal uniform resource locator,"['bajing', 'homo', 'hati', 'hati', 'anak', 'anak', 'utama', 'kamar', 'mandi', 'pria', 'tinggal', 'uniform', 'resource', 'locator']"
"PENGGUNA Ya, itu sempurna'",1,0,ya sempurna,"['ya', 'sempurna']"
"PENGGUNA x || Kamu tidak mengatakannya dengan benar, kawan.",1,0,x kawan,"['x', 'kawan']"
tapi tetap menikmati kebijakan-kebijakan yang sebelumnya diajukan oleh PKI... lho...,0,1,nikmat bijak bijak aju partai komunis indonesia lo,"['nikmat', 'bijak', 'bijak', 'aju', 'partai', 'komunis', 'indonesia', 'lo']"
"Misalnya, bagaimana jika orang Tionghoa diusir paksa dari Indonesia?",0,1,orang tionghoa usir paksa indonesia,"['orang', 'tionghoa', 'usir', 'paksa', 'indonesia']"
PENGGUNA RT: babi cina... pencuri cina...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2,0,1,babi cina curi cina evictchina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,"['babi', 'cina', 'curi', 'cina', 'evictchina', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', '9y4hiwhjp2']"
URL PROYEK KORUPSI REZIM SBY,1,0,uniform resource locator proyek korupsi rezim susilo bambang yudhoyono,"['uniform', 'resource', 'locator', 'proyek', 'korupsi', 'rezim', 'susilo', 'bambang', 'yudhoyono']"
USER USER Lalu bagaimana pendapat anda mengenai kitab suci agama yang disampaikan oleh Paman USER; ; #Tiba-tiba panik,1,0,kena kitab suci agama paman panik,"['kena', 'kitab', 'suci', 'agama', 'paman', 'panik']"
"USER, kamu kasar, kamu timpang'",1,0,kasar timpang,"['kasar', 'timpang']"
"PENGGUNA Ada kecebong, bro, dia pikir dia yang paling benar'",1,0,kecebong bro pikir,"['kecebong', 'bro', 'pikir']"
Apakah kamu transgender atau anjing apa :( URL,1,0,transgender anjing uniform resource locator,"['transgender', 'anjing', 'uniform', 'resource', 'locator']"
"USER USER USER USER Saran saya, tidak perlu banyak-banyak memarahi ayat, langsung saja pada inti permasalahannya. Kalau tidak setuju, teriak saja kalau kamu kafir, sesat, liberal, pemuja dukun, bla bla...hatimu pasti terpuaskan...'",1,0,saran parah ayat langsung inti tuju teriak kafir sesat liberal puja dukun bla bla hati puas,"['saran', 'parah', 'ayat', 'langsung', 'inti', 'tuju', 'teriak', 'kafir', 'sesat', 'liberal', 'puja', 'dukun', 'bla', 'bla', 'hati', 'puas']"
"Jangan salah sasaran, bukan Ahok... agenda utamanya adalah menggulingkan Jokowi.",1,0,salah sasar ahok agenda utama guling jokowi,"['salah', 'sasar', 'ahok', 'agenda', 'utama', 'guling', 'jokowi']"
"USER USER Pas baru kena kena, udah kepanasan??? Sangat penasaran; ; #2019GantiPresiden",1,0,pas kena kena panas penasaran 2019 ganti presiden,"['pas', 'kena', 'kena', 'panas', 'penasaran', '2019', 'ganti', 'presiden']"
"Prabowo kalah, menyebut bantuan Jokowi hanya sekedar pencitraan, keluh kesah yang menyedihkan",1,0,prabowo kalah bantu jokowi citra keluh kesah sedih,"['prabowo', 'kalah', 'bantu', 'jokowi', 'citra', 'keluh', 'kesah', 'sedih']"
USER USER Para idiot adalah penipu yang menjilat pihak berwenang yang kedapatan memindahkan orang-orang yang dibayar dengan menggunakan beras kemasan. Propaganda nasi kemasan selalu gagal.',0,1,idiot tipu jilat wenang pindah orang orang bayar beras kemas propaganda nasi kemas gagal,"['idiot', 'tipu', 'jilat', 'wenang', 'pindah', 'orang', 'orang', 'bayar', 'beras', 'kemas', 'propaganda', 'nasi', 'kemas', 'gagal']"
PENGGUNA PENGGUNA PENGGUNA Wow...sewot cebong...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,0,sewot cebong,"['sewot', 'cebong']"
Padahal gubernur saat ini adalah Djarot. Mayoritas parpol di DPRD juga mendukung Ahok Djarot. Sangat disayangkan bahwa itu adalah URL PENGGUNA,1,0,gubernur djarot mayoritas partai politik dewan wakil rakyat daerah dukung ahok djarot sayang uniform resource locator,"['gubernur', 'djarot', 'mayoritas', 'partai', 'politik', 'dewan', 'wakil', 'rakyat', 'daerah', 'dukung', 'ahok', 'djarot', 'sayang', 'uniform', 'resource', 'locator']"
PENGGUNA Anak pecundang...tak jauh dari hobi zina.. haha',1,0,anak cundang hobi zina haha,"['anak', 'cundang', 'hobi', 'zina', 'haha']"
Pendaftaran calon presiden #Pilpres 2019 baru dibuka Agustus 2018... normatifnya apa yang masih belum dipahami oleh politisi PDIP? #2019Ganti Presiden!!,0,1,daftar calon presiden pilih presiden 2019 buka agustus 2018 normatif paham politis partai demokrasi indonesia juang 2019 ganti presiden presiden,"['daftar', 'calon', 'presiden', 'pilih', 'presiden', '2019', 'buka', 'agustus', '2018', 'normatif', 'paham', 'politis', 'partai', 'demokrasi', 'indonesia', 'juang', '2019', 'ganti', 'presiden', 'presiden']"
Orang bodoh sudah tahu kalau pemerintahan rezim komunis ini korup dan bisa memimpin sidang DPR menggunakan URL cebong,1,0,orang bodoh perintah rezim komunis korup pimpin sidang dewan wakil rakyat uniform resource locator cebong,"['orang', 'bodoh', 'perintah', 'rezim', 'komunis', 'korup', 'pimpin', 'sidang', 'dewan', 'wakil', 'rakyat', 'uniform', 'resource', 'locator', 'cebong']"
Tiongkok sedang menghancurkan negaranya!! Membuang!! Tuju??,0,1,tiongkok hancur negara buang tuju,"['tiongkok', 'hancur', 'negara', 'buang', 'tuju']"
"#2019Ganti Presiden secara konstitusional adalah hak setiap rakyat, wah!! . Begitu pula jika Anda berencana untuk bebas tetapi berperilaku otoriter.",1,0,2019 ganti presiden presiden konstitusional hak rakyat rencana bebas perilaku otoriter,"['2019', 'ganti', 'presiden', 'presiden', 'konstitusional', 'hak', 'rakyat', 'rencana', 'bebas', 'perilaku', 'otoriter']"
"USER Kroasia itu fanatik lho, kenapa belajar dengan fanatik...apakah kamu sudah lupa dengan negeri surga??'",0,1,kroasia fanatik lo ajar fanatik lupa negeri surga,"['kroasia', 'fanatik', 'lo', 'ajar', 'fanatik', 'lupa', 'negeri', 'surga']"
"USER USER, benarkah Menteri Soeharto itu gay?'",1,0,menteri soeha o gay,"['menteri', 'soeha', 'o', 'gay']"
"Mengejar seseorang lumayan nakal, rupiah turun kemana \xf0\x9f\x98\xa5'",1,0,kejar orang lumayan nakal rupiah turun,"['kejar', 'orang', 'lumayan', 'nakal', 'rupiah', 'turun']"
"Semoga ada tindak lanjutnya!; ; Pelaporan ?penodaan agama? Ade Armando akan dilakukan langsung oleh Ketua Umum FPI KH. Shobri Lubis ke Mabes Polri, Gambir, Jakarta Pusat pada Selasa (10/4) pukul 13.00 WIB; #Mungkin PENGGUNA;",1,0,moga tindak lapor noda agama adek armando laku langsung ketua front bela islam kh shobri lubis markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat,"['moga', 'tindak', 'lapor', 'noda', 'agama', 'adek', 'armando', 'laku', 'langsung', 'ketua', 'front', 'bela', 'islam', 'kh', 'shobri', 'lubis', 'markas', 'polisi', 'republik', 'indonesia', 'gambir', 'jaka', 'a', 'pusat', 'selasa', '10', '4', '13', '00', 'indonesia', 'barat']"
PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA Bangke.. beat!!!!',1,0,bangkai beat,"['bangkai', 'beat']"
USER USER USER .\nOrang yang minum terlalu banyak akan mati',0,1,orang minum mati,"['orang', 'minum', 'mati']"
URL Ahok bilang mereka khawatir dengan ponselnya USER USER USER USER USER USER USER,1,0,uniform resource locator ahok bilang khawatir ponselnya,"['uniform', 'resource', 'locator', 'ahok', 'bilang', 'khawatir', 'ponselnya']"
Itu baru di Sul Teng..!!!; Ini kelebihan akibat tersandera utang Tiongkok!!!; #2019GantiPresiden; #2019Presiden Baru ; #2019StayJokowiChange,1,0,sul teng akibat sandera utang tiongkok 2019 ganti presiden 2019presiden 2019stayjokowichange,"['sul', 'teng', 'akibat', 'sandera', 'utang', 'tiongkok', '2019', 'ganti', 'presiden', '2019presiden', '2019stayjokowichange']"
PENGGUNA KPK bukan hanya kurang terampil di era ini...tapi era ini juga berkomitmen dalam pemberantasan korupsi tidak seperti di era Pak Sby....,0,1,komisi berantas korupsi terampil era era komitmen berantas korupsi sepe i era susilo bambang yudhoyono,"['komisi', 'berantas', 'korupsi', 'terampil', 'era', 'era', 'komitmen', 'berantas', 'korupsi', 'sepe', 'i', 'era', 'susilo', 'bambang', 'yudhoyono']"
PENGGUNA RT: Admin bodoh di pesta bodoh\nPesta Bodoh untuk Orang Bodoh',0,1,admin bodoh pesta bodoh pesta bodoh orang bodoh,"['admin', 'bodoh', 'pesta', 'bodoh', 'pesta', 'bodoh', 'orang', 'bodoh']"
Hanya Jokowi yang lengser. PENGGUNA ditutup. URL,1,0,jokowi lengser tutup uniform resource locator,"['jokowi', 'lengser', 'tutup', 'uniform', 'resource', 'locator']"
USER Ngomong-ngomong soal itu...mulutmu kayak banci...beli cermin dulu lihat dirimu...Bro',1,0,bicara bicara mulut kayak banci beli cermin lihat bro,"['bicara', 'bicara', 'mulut', 'kayak', 'banci', 'beli', 'cermin', 'lihat', 'bro']"
PENGGUNA Ada amin yang rasis.\nAda yang sangat dani\nAda ratna yang malang.\nAda unta.\nAda lubang anus.\nJadi jangan takut wo wo..\nObat penenangmu hampir habis.',1,0,amin racist ratna malang unta lubang anus takut oi oi obat tenang habis,"['amin', 'racist', 'ratna', 'malang', 'unta', 'lubang', 'anus', 'takut', 'oi', 'oi', 'obat', 'tenang', 'habis']"
USER Tunggu perintah dari USER'S LIVID IMAM. TAIK BEER \xf0\x9f\x8d\xba\n\nApe2 bawakan ULAMA...\nBASIC Banj SEMPAK',1,0,tunggu perintah si livid imam tai bir bawa ulama basic banj sempak,"['tunggu', 'perintah', 'si', 'livid', 'imam', 'tai', 'bir', 'bawa', 'ulama', 'basic', 'banj', 'sempak']"
Kabinet berantakan \nPemecah persatuan hanya ada di rezim ini',0,1,kabinet beranta pecah rezim,"['kabinet', 'beranta', 'pecah', 'rezim']"
"ya! Mengaku Lebih Pintar dari Politisi, LIHAT KETERSEDIAANMU DULU, Mukamu Bodoh!!! Ckakakak PENGGUNA'",1,0,ya pintar politis lihat sedia muka bodoh ckakakak,"['ya', 'pintar', 'politis', 'lihat', 'sedia', 'muka', 'bodoh', 'ckakakak']"
"#PDIPerjuanganMenang Dengan menekan perusahaan tambang yang target proyeknya tidak mungkin, lalu melelangnya dengan harga murah ke antek-antek China. NTB adalah contoh kasusnya. PDIP ingin menang? Dasar bajingan'",0,1,partai demokrasi indonesia juang menang tekan usaha tambang target proyek lelang harga murah antek antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,"['partai', 'demokrasi', 'indonesia', 'juang', 'menang', 'tekan', 'usaha', 'tambang', 'target', 'proyek', 'lelang', 'harga', 'murah', 'antek', 'antek', 'cina', 'ntb', 'contoh', 'partai', 'demokrasi', 'indonesia', 'juang', 'menang', 'dasar', 'bajing']"
USER USER tak percaya dengan mulut buayamu gan.,1,0,percaya mulut buaya juragan,"['percaya', 'mulut', 'buaya', 'juragan']"
"RT USER USER Jangan jadi banci kalengan, kamu GATOT sering bikin gaduh bapak-bapak REVERSE, siap bersaing di Pilpres 2019 lawan Jokowi",1,0,banci kaleng gatot bikin gaduh reverse saing pilih presiden 2019 lawan jokowi,"['banci', 'kaleng', 'gatot', 'bikin', 'gaduh', 'reverse', 'saing', 'pilih', 'presiden', '2019', 'lawan', 'jokowi']"
PENGGUNA PENGGUNA umum &gt; persib\npersib kunyuk!!!!\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,1,persib persib kunyuk,"['persib', 'persib', 'kunyuk']"
"PENGGUNA PENGGUNA Untuk film Muslim, pilih apakah Ahok meninggal tanpa salat......; dijamin laku......",1,0,film muslim pilih ahok tinggal salat jamin laku,"['film', 'muslim', 'pilih', 'ahok', 'tinggal', 'salat', 'jamin', 'laku']"
"Pemberitaan tentang Saracen dibingkai seolah-olah merupakan kubu Prabowo dan Anies-Sandi. Bahkan, media menumpahkan kepedihan hati katak dan berudu. *eh",0,1,berita saracen bingkai olah olah rupa kubu prabowo anies sandi media tumpah pedih hati katak berudu eh,"['berita', 'saracen', 'bingkai', 'olah', 'olah', 'rupa', 'kubu', 'prabowo', 'anies', 'sandi', 'media', 'tumpah', 'pedih', 'hati', 'katak', 'berudu', 'eh']"
"USER USER USER USER Aku bukan cebong, kamu sudah mengatakan itu padaku sejak kemarin dan aku masih keras kepala\nApakah kamu memaksaku menjadi cebong?'",1,0,cebong kemarin keras kepala paksa cebong,"['cebong', 'kemarin', 'keras', 'kepala', 'paksa', 'cebong']"
"Kelemahan USER Gerindra terletak pada orang ini,...Elektabilitas Prabowo menurun karena dia CONGOR fadlizon seperti DURNO'",1,0,lemah gerindra letak orang elektabilitas prabowo turun congor fadli zon sepe i durno,"['lemah', 'gerindra', 'letak', 'orang', 'elektabilitas', 'prabowo', 'turun', 'congor', 'fadli', 'zon', 'sepe', 'i', 'durno']"
"PENGGUNA PENGGUNA PENGGUNA Saya ingin menasihati anda, jangan gegabah terhadap rezim ini... eh tapi negeri ini memang sudah dalam keadaan kacau balau... nah sekarang ekonominya sedang porak poranda, kacau balau!!'",1,0,nasihat gegabah hadap rezim eh negeri kacau balau ekonomi porak poranda kacau balau,"['nasihat', 'gegabah', 'hadap', 'rezim', 'eh', 'negeri', 'kacau', 'balau', 'ekonomi', 'porak', 'poranda', 'kacau', 'balau']"
"PENGGUNA TAHUN 2019 Masyarakat makan ASPAL dan BETON; ini merupakan solusi jitu untuk mengurangi kemiskinan; ; SKILLNYA HANYA 1, CHEATER!!!; Aku anak kecil seperti itu, aku bodoh dan aku tidak beruntung. Plonga plongo menghasilkan optimisme yang berlebihan; ; #2019GantiPresiden#",0,1,2019 masyarakat makan aspal beton rupa solusi jitu miskin skillnya 1 cheater anak sepe i bodoh untung plonga plongo hasil optimisme 2019 ganti presiden,"['2019', 'masyarakat', 'makan', 'aspal', 'beton', 'rupa', 'solusi', 'jitu', 'miskin', 'skillnya', '1', 'cheater', 'anak', 'sepe', 'i', 'bodoh', 'untung', 'plonga', 'plongo', 'hasil', 'optimisme', '2019', 'ganti', 'presiden']"
"USER Kemarin Dihujat, Sekarang Dia Berharap Bajingan Kamprey'",0,1,kemarin hujat harap bajing kampret,"['kemarin', 'hujat', 'harap', 'bajing', 'kampret']"
"USER Penjelasan Saya Bukan Fitnah, Mohon TOLAK USER Apollinaris Darmawan Sebut Alquran Buku Sampah",0,1,fitnah mohon tolak apollinaris darmawan alquran buku sampah,"['fitnah', 'mohon', 'tolak', 'apollinaris', 'darmawan', 'alquran', 'buku', 'sampah']"
"Kalaupun kamu bilang kalau kakak SMA-mu pasti tidak mau, kok hidupmu seperti ini? PENGGUNA'",1,0,bilang kakak mu hidup sepe i,"['bilang', 'kakak', 'mu', 'hidup', 'sepe', 'i']"
Becak Warga Binjai Akan Disita karena Gunakan Tenda Bertulisan #2019Ganti Presiden PKS MERADANG; ; Buktinya pemerintah panik dan takut?; ;,0,1,becak warga binjai sita tenda be ulisan 2019 ganti presiden presiden partai adil sejahtera radang bukti perintah panik takut,"['becak', 'warga', 'binjai', 'sita', 'tenda', 'be', 'ulisan', '2019', 'ganti', 'presiden', 'presiden', 'partai', 'adil', 'sejahtera', 'radang', 'bukti', 'perintah', 'panik', 'takut']"
lebih baik jokowi mundur...,1,0,jokowi mundur,"['jokowi', 'mundur']"
Oleh rezim saat ini di bawah kendali Negara Komunis Tiongkok yang menjadi pelindung tunggal rezim anti-Islam (Jokowi),0,1,rezim kendali negara komunis tiongkok lindung tunggal rezim anti islam jokowi,"['rezim', 'kendali', 'negara', 'komunis', 'tiongkok', 'lindung', 'tunggal', 'rezim', 'anti', 'islam', 'jokowi']"
"USER Ada apa dengan GT baru, lagunya sudah selangit. Tidak ingat ada karma? Dalam beberapa tahun, jika idolamu gagal, aku akan tertawa paling keras.'",1,0,lagu langit karma idola gagal te awa keras,"['lagu', 'langit', 'karma', 'idola', 'gagal', 'te', 'awa', 'keras']"
"PENGGUNA MAJU, KAMU BILANG IBUKU BODOH'",1,0,maju bilang bodoh,"['maju', 'bilang', 'bodoh']"
"Dahi Kadal Grombolan Gosong, Mantap, Suka Bikin Kegaduhan Tapi Kalau Grombolanya Salah Pura-pura Jadi Budek..URL Dasar Grombolan Cingkrang",0,1,dahi kadal gerombol gosong mantap suka bikin gaduh gerombol salah pura pura budek uniform resource locator dasar gerombol cingkrang,"['dahi', 'kadal', 'gerombol', 'gosong', 'mantap', 'suka', 'bikin', 'gaduh', 'gerombol', 'salah', 'pura', 'pura', 'budek', 'uniform', 'resource', 'locator', 'dasar', 'gerombol', 'cingkrang']"
RT USER USER benar padahal siapa Saracen jadi akun kritis dianggap Saracen tidak seaneh itu Jokowi,1,0,saracen akun kritis anggap saracen aneh jokowi,"['saracen', 'akun', 'kritis', 'anggap', 'saracen', 'aneh', 'jokowi']"
"USER kamu siapa, kamu bukan temanku, kamu kotor, aku kesal'",1,0,teman kotor kesal,"['teman', 'kotor', 'kesal']"
USER USER Orang Kristen kafir selalu membuat ulah,0,1,orang kristen kafir ulah,"['orang', 'kristen', 'kafir', 'ulah']"
"USER Tahukah Anda, baunya sudah menjadi ciri khas buluq' sipit ini",1,0,bau ciri khas buluk sipit,"['bau', 'ciri', 'khas', 'buluk', 'sipit']"
USER USER USER USER Unta Yaman ini\n\nSaya akan mendeportasi Anda dalam waktu satu tahun,1,0,unta yaman depo asi,"['unta', 'yaman', 'depo', 'asi']"
Anak USER menyebalkan ya ini USER',1,0,anak sebal ya,"['anak', 'sebal', 'ya']"
PENGGUNA \xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\ xf0\x9f\x99\x88Sudah ketahuan HOAXnya ya?,1,0,xf0sudah hoaxnya ya,"['xf0sudah', 'hoaxnya', 'ya']"
USER USER Pantas saja Indonesia mengalami kemunduran dalam segala bentuk,1,0,indonesia alami mundur bentuk,"['indonesia', 'alami', 'mundur', 'bentuk']"
"USER USER USER USER Hahahaha kamu yang blunder, bajingan cilik... Yang gak ngasih. pusat hak asasi manusia...jika masyarakat aceh mau...coba datangi pemerintah dan suruh kaffah syariat islam di aceh...kalau DPR a",1,0,haha blunder bajing cilik pusat hak asasi manusia masyarakat aceh coba perintah suruh kaffah syariat islam aceh dewan wakil rakyat a,"['haha', 'blunder', 'bajing', 'cilik', 'pusat', 'hak', 'asasi', 'manusia', 'masyarakat', 'aceh', 'coba', 'perintah', 'suruh', 'kaffah', 'syariat', 'islam', 'aceh', 'dewan', 'wakil', 'rakyat', 'a']"
USER USER USER USER Teman-temanku bodoh sekali..jadi jangan buang energimu berdebat dengan mereka..\xf0\x9f\x98\x82',0,1,teman teman bodoh buang energi debat,"['teman', 'teman', 'bodoh', 'buang', 'energi', 'debat']"
PENGGUNA PARTAI KORUPSI SAPI......bodoh...',0,1,ai korupsi sapi bodoh,"['ai', 'korupsi', 'sapi', 'bodoh']"
