Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
Bagaimana jika tagar tersebut diganti dengan pengunduran diri Jokowi,1,0,1,0,0,0,0,0,1,0,0,1,tagar ganti lengser jokowi,"['tagar', 'ganti', 'lengser', 'jokowi']"
USER USER USER USER USER USER #HancurkanPKS #HancurkanPKS #HancurkanPKS #HancurkanPKS #HancurkanPKS #HancurkanPKS #HancurkanPKS #Hancurkan,1,0,0,1,0,0,0,0,1,0,0,1,hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hanc,"['hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hancur', 'partai', 'adil', 'sejahtera', 'hanc']"
"Apakah ini beradab? Kalau setuju tidak beradab, buanglah Islam karena hanya dengan membuang Islam barbarisme bisa dikurangi.",1,1,0,1,1,0,0,0,0,0,0,1,adab tuju adab buang islam buang islam biadab rang,"['adab', 'tuju', 'adab', 'buang', 'islam', 'buang', 'islam', 'biadab', 'rang']"
RT USER USER USER Tangkap Setnov yang tidak mampu membubarkan KPK!!,1,0,0,1,0,0,0,0,1,0,0,1,tangkap setya novanto sanggup bubar komisi berantas korupsi,"['tangkap', 'setya', 'novanto', 'sanggup', 'bubar', 'komisi', 'berantas', 'korupsi']"
USER USER USER USER Sangat Setuju! Bangsa Indonesia membutuhkan USER sebagai pahlawan nasionalis yang mengajarkan kita untuk mencintai NKRI. Kaum radikal biadab dan menyebalkan ini harus dibasmi! Keren sekali!,1,1,0,1,0,0,0,0,1,0,0,1,tuju bangsa indonesia butuh orang pahlawan nasionalis ajar cinta negara republik indonesia kaum radikal cinta kencing onta biadab singkir kerja rad,"['tuju', 'bangsa', 'indonesia', 'butuh', 'orang', 'pahlawan', 'nasionalis', 'ajar', 'cinta', 'negara', 'republik', 'indonesia', 'kaum', 'radikal', 'cinta', 'kencing', 'onta', 'biadab', 'singkir', 'kerja', 'rad']"
"PENGGUNA RT PKI gabung PDI P, bubarkan PDI P!!",1,0,0,1,0,1,0,0,0,0,0,1,partai komunis indonesia partai demokrasi indonesia p bubar partai demokrasi indonesia p,"['partai', 'komunis', 'indonesia', 'partai', 'demokrasi', 'indonesia', 'p', 'bubar', 'partai', 'demokrasi', 'indonesia', 'p']"
Restart Reformasi 98 jilid 2 PENGGUNA Hapus Jokowi,1,0,1,0,0,0,0,0,1,0,0,1,ulang reformasi 98 jilid 2 turun jokowi,"['ulang', 'reformasi', '98', 'jilid', '2', 'turun', 'jokowi']"
"Khas Bani 212 Bin Onta Kampret : cepat memuji orang yang dihormati, cepat menghina balik... Salam TGB... ngoahaha #DisbandPKS'",1,1,0,1,1,0,0,0,0,0,0,1,tipikal bani 212 bin onta kampret cepat puji orang hormat cepat caci nya salam tuan guru bajang haha bubar partai adil sejahtera,"['tipikal', 'bani', '212', 'bin', 'onta', 'kampret', 'cepat', 'puji', 'orang', 'hormat', 'cepat', 'caci', 'nya', 'salam', 'tuan', 'guru', 'bajang', 'haha', 'bubar', 'partai', 'adil', 'sejahtera']"
Mengapa menyerang pemerintahan Jokowi yang sebentar lagi akan berhenti berkuasa? Gulingkan dia pada pemilihan presiden berikutnya.,1,0,1,0,0,0,0,0,1,0,0,1,serang perintah jokowi bentar henti kuasa lengser pilih presiden,"['serang', 'perintah', 'jokowi', 'bentar', 'henti', 'kuasa', 'lengser', 'pilih', 'presiden']"
"PT20 Langgar Konstitusi Rezim Otoriter Ini Tak Berhenti Langgar Hukum, Kali Ini Konstitusi Juga Akan Dilanggar... Saatnya Jatuhkan Jokowi",1,0,1,0,0,0,0,0,1,0,0,1,presidential threshold langgar konstitusi rezim otoriter habis habis tabrak tubruk undang undang kali undang undang dasar jebol mk lengser jokowi,"['presidential', 'threshold', 'langgar', 'konstitusi', 'rezim', 'otoriter', 'habis', 'habis', 'tabrak', 'tubruk', 'undang', 'undang', 'kali', 'undang', 'undang', 'dasar', 'jebol', 'mk', 'lengser', 'jokowi']"
"gulingkan jokowi! ""USER: Rezim anti-subsidi adalah rezim anti-populer. USER USER""",1,0,1,0,0,0,0,0,1,0,0,1,lengser jokowi rejim anti subsidi rejim anti rakyat,"['lengser', 'jokowi', 'rejim', 'anti', 'subsidi', 'rejim', 'anti', 'rakyat']"
Ahok mencari peluang untuk menyerang saksi Drama Kriminalisasi Ahok yang memenjarakan Ahok,1,0,1,0,0,0,0,0,1,0,0,1,ahok cari cari celah serang saksi drama ahok kriminalisasi penjara ahok,"['ahok', 'cari', 'cari', 'celah', 'serang', 'saksi', 'drama', 'ahok', 'kriminalisasi', 'penjara', 'ahok']"
"Jokowi harus segera dicopot dan digantikan oleh Ahmad Heryawan. Jangan keras kepala, saya hanya memberi contoh saja.",1,1,1,0,0,0,0,0,1,0,0,1,jokowi lengser ganti ahmad heryawan cebong solot contoh,"['jokowi', 'lengser', 'ganti', 'ahmad', 'heryawan', 'cebong', 'solot', 'contoh']"
Gambar tersebut merupakan sikap Papa yang meminta agar URL KPK dibagikan dan dibubarkan.,1,0,0,1,0,0,0,0,1,0,0,1,grafik posisi papa saham bubar komisi berantas korupsi uniform resource locator,"['grafik', 'posisi', 'papa', 'saham', 'bubar', 'komisi', 'berantas', 'korupsi', 'uniform', 'resource', 'locator']"
"Kami tidak takut, kami hanya ingin menghancurkan PKI yang berbahaya jika embrio setan berkembang biak",1,0,0,1,0,1,0,0,0,0,0,1,takut ganyang partai komunis indonesia bahaya embrio iblis kembang biak,"['takut', 'ganyang', 'partai', 'komunis', 'indonesia', 'bahaya', 'embrio', 'iblis', 'kembang', 'biak']"
Sudah saatnya mundur. menggulingkan Jokowi,1,0,1,0,0,0,0,0,1,0,0,1,lengser lengser jokowi,"['lengser', 'lengser', 'jokowi']"
"Singkirkan saja yang Cina ini. Ki paling gila dipenjara karena anti-Tionghoa. Nah, China sudah mendarat di negara ini, sebagai gantinya... URL",1,0,1,0,0,1,0,0,0,0,0,1,usir nih cina ki gila pamungkas bui gara gara anti cina cina tumpang negeri uniform resource locator,"['usir', 'nih', 'cina', 'ki', 'gila', 'pamungkas', 'bui', 'gara', 'gara', 'anti', 'cina', 'cina', 'tumpang', 'negeri', 'uniform', 'resource', 'locator']"
Tak perlu.. Biarkan saja Jokowi melindungi Ahok.. Tahun 2019 kita gulingkan Jokowi.. Tidak apa-apa..,1,0,1,0,0,0,0,0,1,0,0,1,biar jokowi lindung ahok 2019 lengser jokowi mantap,"['biar', 'jokowi', 'lindung', 'ahok', '2019', 'lengser', 'jokowi', 'mantap']"
Usir agama Budha dari Jawa!!!!,1,0,0,1,1,0,0,0,0,0,0,1,usir buddha tanah jawa,"['usir', 'buddha', 'tanah', 'jawa']"
RT USER Mari kita jaga keutuhan NKRI!!! Tangkap Penghujat!!! Hentikan Kriminalisasi Ulama URL,1,0,1,0,1,0,0,0,0,0,0,1,ayo jaga utuh negara republik indonesia tangkap nista agama stop kriminalisasi ulama uniform resource locator,"['ayo', 'jaga', 'utuh', 'negara', 'republik', 'indonesia', 'tangkap', 'nista', 'agama', 'stop', 'kriminalisasi', 'ulama', 'uniform', 'resource', 'locator']"
TURUNKAN PKI! Asosiasi Keripik Indo... URL,1,0,0,1,0,1,0,0,0,0,0,1,ganyang partai komunis indonesia kumpul keripik indonesia uniform resource locator,"['ganyang', 'partai', 'komunis', 'indonesia', 'kumpul', 'keripik', 'indonesia', 'uniform', 'resource', 'locator']"
RT USER Usir saja duta besar negara-negara Kristen dan putuskan hubungan diplomatik.,1,0,1,0,1,0,0,0,0,0,0,1,usir duta negara kristen putus hubung diplomatik,"['usir', 'duta', 'negara', 'kristen', 'putus', 'hubung', 'diplomatik']"
"Ayo Umat Islam Terus Pukuli Kelompok LGBT, Masyarakat Pahami Apa yang Perlu Diusir dari Islam USER Parmusi Dorong RUU Agama Anti-LGBT",1,0,0,1,1,0,0,1,0,0,0,1,ayo muslim hantam lgbt rakyat paham buang islam parmusi dorong rancang undang undang anti paham lgbt,"['ayo', 'muslim', 'hantam', 'lgbt', 'rakyat', 'paham', 'buang', 'islam', 'parmusi', 'dorong', 'rancang', 'undang', 'undang', 'anti', 'paham', 'lgbt']"
