Tweet,HS_Individual,HS_Group,Cleaned_Tweet,Tweet_list
PENGGUNA PENGGUNA umum &gt; persib\npersib kunyuk!!!!\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,1,persib persib kunyuk,"['persib', 'persib', 'kunyuk']"
"Pemberitaan tentang Saracen dibingkai seolah-olah merupakan kubu Prabowo dan Anies-Sandi. Bahkan, media menumpahkan kepedihan hati katak dan berudu. *eh",0,1,berita saracen bingkai olah olah rupa kubu prabowo anies sandi media tumpah pedih hati katak berudu eh,"['berita', 'saracen', 'bingkai', 'olah', 'olah', 'rupa', 'kubu', 'prabowo', 'anies', 'sandi', 'media', 'tumpah', 'pedih', 'hati', 'katak', 'berudu', 'eh']"
"PENGGUNA TAHUN 2019 Masyarakat makan ASPAL dan BETON; ini merupakan solusi jitu untuk mengurangi kemiskinan; ; SKILLNYA HANYA 1, CHEATER!!!; Aku anak kecil seperti itu, aku bodoh dan aku tidak beruntung. Plonga plongo menghasilkan optimisme yang berlebihan; ; #2019GantiPresiden#",0,1,2019 masyarakat makan aspal beton rupa solusi jitu miskin skillnya 1 cheater anak sepe i bodoh untung plonga plongo hasil optimisme 2019 ganti presiden,"['2019', 'masyarakat', 'makan', 'aspal', 'beton', 'rupa', 'solusi', 'jitu', 'miskin', 'skillnya', '1', 'cheater', 'anak', 'sepe', 'i', 'bodoh', 'untung', 'plonga', 'plongo', 'hasil', 'optimisme', '2019', 'ganti', 'presiden']"
"USER Kemarin Dihujat, Sekarang Dia Berharap Bajingan Kamprey'",0,1,kemarin hujat harap bajing kampret,"['kemarin', 'hujat', 'harap', 'bajing', 'kampret']"
"USER Penjelasan Saya Bukan Fitnah, Mohon TOLAK USER Apollinaris Darmawan Sebut Alquran Buku Sampah",0,1,fitnah mohon tolak apollinaris darmawan alquran buku sampah,"['fitnah', 'mohon', 'tolak', 'apollinaris', 'darmawan', 'alquran', 'buku', 'sampah']"
Becak Warga Binjai Akan Disita karena Gunakan Tenda Bertulisan #2019Ganti Presiden PKS MERADANG; ; Buktinya pemerintah panik dan takut?; ;,0,1,becak warga binjai sita tenda be ulisan 2019 ganti presiden presiden partai adil sejahtera radang bukti perintah panik takut,"['becak', 'warga', 'binjai', 'sita', 'tenda', 'be', 'ulisan', '2019', 'ganti', 'presiden', 'presiden', 'partai', 'adil', 'sejahtera', 'radang', 'bukti', 'perintah', 'panik', 'takut']"
Oleh rezim saat ini di bawah kendali Negara Komunis Tiongkok yang menjadi pelindung tunggal rezim anti-Islam (Jokowi),0,1,rezim kendali negara komunis tiongkok lindung tunggal rezim anti islam jokowi,"['rezim', 'kendali', 'negara', 'komunis', 'tiongkok', 'lindung', 'tunggal', 'rezim', 'anti', 'islam', 'jokowi']"
"Dahi Kadal Grombolan Gosong, Mantap, Suka Bikin Kegaduhan Tapi Kalau Grombolanya Salah Pura-pura Jadi Budek..URL Dasar Grombolan Cingkrang",0,1,dahi kadal gerombol gosong mantap suka bikin gaduh gerombol salah pura pura budek uniform resource locator dasar gerombol cingkrang,"['dahi', 'kadal', 'gerombol', 'gosong', 'mantap', 'suka', 'bikin', 'gaduh', 'gerombol', 'salah', 'pura', 'pura', 'budek', 'uniform', 'resource', 'locator', 'dasar', 'gerombol', 'cingkrang']"
USER USER Orang Kristen kafir selalu membuat ulah,0,1,orang kristen kafir ulah,"['orang', 'kristen', 'kafir', 'ulah']"
USER USER USER USER Teman-temanku bodoh sekali..jadi jangan buang energimu berdebat dengan mereka..\xf0\x9f\x98\x82',0,1,teman teman bodoh buang energi debat,"['teman', 'teman', 'bodoh', 'buang', 'energi', 'debat']"
PENGGUNA PARTAI KORUPSI SAPI......bodoh...',0,1,ai korupsi sapi bodoh,"['ai', 'korupsi', 'sapi', 'bodoh']"
"Sinyal Kntl!! Pemeliharaan macam apa ini? Bukankah itu niatmu? Susah banget login twitter, cara buka redtube gimana? Cetan!! PENGGUNA'",0,1,sinyal kontol pelihara niat susah banget login twitter buka redtube setan,"['sinyal', 'kontol', 'pelihara', 'niat', 'susah', 'banget', 'login', 'twitter', 'buka', 'redtube', 'setan']"
"USER Kotor gak masalah, yang penting warganya senang, mana kecebong bisa ngerti'",0,1,kotor warga senang kecebong nge i,"['kotor', 'warga', 'senang', 'kecebong', 'nge', 'i']"
"RT USER: Kebusukan kubu Anies Sandi terbongkar satu per satu, menang tanpa restu URL dan Prabowo berusaha cuci tangan",0,1,busuk kubu anies sandi bongkar menang restu uniform resource locator prabowo usaha cuci tangan,"['busuk', 'kubu', 'anies', 'sandi', 'bongkar', 'menang', 'restu', 'uniform', 'resource', 'locator', 'prabowo', 'usaha', 'cuci', 'tangan']"
"USER Pak USER Mahfud MD telah berpaling dari Allah SWT Pemberang, demi bangsa mengajak semua untuk membuang Islam",0,1,mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,"['mahfud', 'md', 'allah', 'subhanahu', 'wa', 'taala', 'berang', 'bangsa', 'ajak', 'buang', 'islam']"
"Lembaga antikorupsi di masa lalu bubar karena adanya sentuhan kekuasaan. Giliran KPK, Kenapa PDIP Partai Politik Penguasa yang Ngotot Bubarkan KPK?",0,1,lembaga anti korupsi bubar sentuh kuasa gilir komisi berantas korupsi partai demokrasi indonesia juang ai politik kuasa otot bubar komisi berantas korupsi,"['lembaga', 'anti', 'korupsi', 'bubar', 'sentuh', 'kuasa', 'gilir', 'komisi', 'berantas', 'korupsi', 'partai', 'demokrasi', 'indonesia', 'juang', 'ai', 'politik', 'kuasa', 'otot', 'bubar', 'komisi', 'berantas', 'korupsi']"
Pendukung capres yang gagal move on selalu sibuk berhadapan dengan Aseng dan kabur membawa uang Rp. 35 triliun tunai. Namun mereka tak sadar kenapa Aseng bisa kabur dengan uang sebanyak itu tanpa dukungan warga asli ASU. Tidak mungkin Aseng melakukannya. Pribumi hanya diam saja saat disuap. Mentalitas yang tidak bersemangat memang. URL,0,1,dukung calon presiden gagal pindah on sibuk hadap asing kabur bawa uang rupiah 35 triliun tunai sadar asing kabur uang dukung warga asli anjing asing laku pribumi diam suap mentalitas semangat uniform resource locator,"['dukung', 'calon', 'presiden', 'gagal', 'pindah', 'on', 'sibuk', 'hadap', 'asing', 'kabur', 'bawa', 'uang', 'rupiah', '35', 'triliun', 'tunai', 'sadar', 'asing', 'kabur', 'uang', 'dukung', 'warga', 'asli', 'anjing', 'asing', 'laku', 'pribumi', 'diam', 'suap', 'mentalitas', 'semangat', 'uniform', 'resource', 'locator']"
"APA ARTINYA ? Penduduk asli menyadari & melihat siapa mereka? KECUALI ANDA KOMUNIS / MISIONARIS CINA, abaikan tweet ini, usir orang Tionghoa Indonesia",0,1,a inya duduk asli sadar lihat kecuali komunis misionaris cina abai twit usir orang tionghoa indonesia,"['a', 'inya', 'duduk', 'asli', 'sadar', 'lihat', 'kecuali', 'komunis', 'misionaris', 'cina', 'abai', 'twit', 'usir', 'orang', 'tionghoa', 'indonesia']"
RT USER Tapi ingat. Jangan sampai China juga memperkenalkan wisata Haram ke Indonesia hahaha,0,1,cina kenal wisata haram indonesia haha,"['cina', 'kenal', 'wisata', 'haram', 'indonesia', 'haha']"
PENGGUNA RT: Penyedia sialan',0,1,sedia sial,"['sedia', 'sial']"
PENGGUNA mengeluh bahwa kain perca ditanggapi dengan 'sialan',0,1,keluh kain perca tanggap sial,"['keluh', 'kain', 'perca', 'tanggap', 'sial']"
USER nek ndelok pertandingan terakhir celsi kudune emyu menang dengan mudah... Tapi yo duh sih celsi berantakan ki raiso diprediksi \xf0\x9f\x98\x82',0,1,nek lihat pe andingan chelsea manchester united menang mudah iya aduh sih chelsea beranta ki prediksi,"['nek', 'lihat', 'pe', 'andingan', 'chelsea', 'manchester', 'united', 'menang', 'mudah', 'iya', 'aduh', 'sih', 'chelsea', 'beranta', 'ki', 'prediksi']"
PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA @,0,1,,[]
"Nantang membuka Dilah, eh, katanya Setan memang akhir dari kamus melawan ""kenegarawanan Pak Joko Widodo, Presiden RI ke-7, semakin stres, hati-hati terkena stroke atau serangan jantung dan bangsa Indonesia akan kehilangan badut politik"" MERDEKA.",0,1,tantang buka eh setan kamus lawan kenegarawanan joko widodo presiden ri 7 stres hati hati kena strok serang jantung bangsa indonesia hilang badut politik merdeka,"['tantang', 'buka', 'eh', 'setan', 'kamus', 'lawan', 'kenegarawanan', 'joko', 'widodo', 'presiden', 'ri', '7', 'stres', 'hati', 'hati', 'kena', 'strok', 'serang', 'jantung', 'bangsa', 'indonesia', 'hilang', 'badut', 'politik', 'merdeka']"
Bubarkan HTI &amp; FPI. URL,0,1,bubar hati amp front bela islam uniform resource locator,"['bubar', 'hati', 'amp', 'front', 'bela', 'islam', 'uniform', 'resource', 'locator']"
"Kolonisasi di tanah Indonesia harus dihapuskan ya? Kita harus memberantas penjajahan ekonomi, budaya dan pertanian yang dilakukan Tiongkok. Demi Negara Kesatuan Republik Indonesia. Menyingkirkan...",0,1,kolonisasi tanah indonesia hapus ya berantas jajah ekonomi budaya pe ani laku tiongkok negara republik indonesia singkir,"['kolonisasi', 'tanah', 'indonesia', 'hapus', 'ya', 'berantas', 'jajah', 'ekonomi', 'budaya', 'pe', 'ani', 'laku', 'tiongkok', 'negara', 'republik', 'indonesia', 'singkir']"
RT USER bayi kafir Budha teroris Myanmar,0,1,bayi kafir buddha teroris myanmar,"['bayi', 'kafir', 'buddha', 'teroris', 'myanmar']"
"Indonesia belum merdeka, Indonesia masih dijajah oleh Cina!!! URL Takbir Allauakbar",0,1,indonesia merdeka indonesia jajah cina uniform resource locator takbir allauakbar,"['indonesia', 'merdeka', 'indonesia', 'jajah', 'cina', 'uniform', 'resource', 'locator', 'takbir', 'allauakbar']"
"USER USER USER USER USER Baiklah, kita ngobrol aja dulu.. Enggak, yang mirip anggota DPR mesum di Mingkem.. yang jelas-jelas selingkuh selama 7 tahun, kalian itu pura-pura promiscuous... #bong200 tak akan sampai ke otakmu...'",0,1,obrol anggota dewan wakil rakyat mesum diam selingkuh 7 pura pura promiscuous cebong iq ratus otak,"['obrol', 'anggota', 'dewan', 'wakil', 'rakyat', 'mesum', 'diam', 'selingkuh', '7', 'pura', 'pura', 'promiscuous', 'cebong', 'iq', 'ratus', 'otak']"
USER CHRIST DOG ASU JIAMPUT FUCKING FUCKING PICEK TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING PICEK TELEK PEJUH SIWUK KOTANG IDIOT FUCKING PICEK TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING PICEK TELEK PEJUH SIWUK KOTANG IDIOT FUCKING PICEK TELEK PEJUH SIWUK K,0,1,christ dog anjing jembut fucking fucking picek tai pejuh siwuk kutang siwuk idiot fucking picek tai pejuh siwuk kutang idiot fucking picek tai pejuh siwuk kutang siwuk idiot fucking picek tai pejuh siwuk kutang idiot fucking picek tai pejuh siwuk k,"['christ', 'dog', 'anjing', 'jembut', 'fucking', 'fucking', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'fucking', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'idiot', 'fucking', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'fucking', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'idiot', 'fucking', 'picek', 'tai', 'pejuh', 'siwuk', 'k']"
Umat ​​Buddha membunuh Muslim di Myanmar,0,1,umat buddha bunuh muslim myanmar,"['umat', 'buddha', 'bunuh', 'muslim', 'myanmar']"
PENGGUNA Yahudi Bangke meminta tempat ibadah kepada orang Jerman,0,1,yahudi bangkai ibadah orang jerman,"['yahudi', 'bangkai', 'ibadah', 'orang', 'jerman']"
Tipuan PENGGUNA...; Katak...; Kadal monitor...; meroket...; sekop...; Bajingan...; Karbitan...; Munafik...; ; #2019GantiPresiden; #2019Presiden Baru; ; #2019TenggelamkanJokowiKeSungai Siak,0,1,tipu katak kadal monitor roket sekop bajing karbitan munafik 2019 ganti presiden 2019presiden 2019tenggelamkanjokowikesungai siak,"['tipu', 'katak', 'kadal', 'monitor', 'roket', 'sekop', 'bajing', 'karbitan', 'munafik', '2019', 'ganti', 'presiden', '2019presiden', '2019tenggelamkanjokowikesungai', 'siak']"
"Berhentilah menjadi konsumen wisata haji & umoh bodong, jadilah produsen wisata ziarah Indonesia",0,1,henti konsumen wisata haji rumah bodong produsen wisata ziarah indonesia,"['henti', 'konsumen', 'wisata', 'haji', 'rumah', 'bodong', 'produsen', 'wisata', 'ziarah', 'indonesia']"
USER Singkirkan negara dengan harga tetap,0,1,singkir negara harga,"['singkir', 'negara', 'harga']"
Adzan di TV yang menyebut Allah SWT bodoh & biadab harus dihentikan dan tayangan yang mencemarkan nama Tuhan tidak boleh dilanjutkan.,0,1,azan televisi allah subhanahu wa taala bodoh biadab henti tayang cemar nama tuhan,"['azan', 'televisi', 'allah', 'subhanahu', 'wa', 'taala', 'bodoh', 'biadab', 'henti', 'tayang', 'cemar', 'nama', 'tuhan']"
USER USER USER USER Semua itu terdapat pada tingkah laku anak-anak CEBONG....',0,1,tingkah laku anak anak cebong,"['tingkah', 'laku', 'anak', 'anak', 'cebong']"
Lantas...apakah PKI alias Partai Korupsi Indonesia perlu ditumpas?,0,1,lantas partai komunis indonesia alias ai korupsi indonesia tumpas,"['lantas', 'partai', 'komunis', 'indonesia', 'alias', 'ai', 'korupsi', 'indonesia', 'tumpas']"
WASPADALAH TERHADAP KOMUNIS CINA DI INDONESIA!,0,1,waspada hadap komunis cina indonesia,"['waspada', 'hadap', 'komunis', 'cina', 'indonesia']"
USER USER Ganti rezim ya antek-antek.. Cebong itu kalau tanya saya',0,1,ganti rezim ya antek antek cebong,"['ganti', 'rezim', 'ya', 'antek', 'antek', 'cebong']"
"China, apa hakmu untuk melarangnya?",0,1,cina hak larang,"['cina', 'hak', 'larang']"
"Kamu hebat dalam berbicara tentang cinta, kamu masih memegang Al-Quran sebagai pedoman hidup, Al-Quran tidak berbicara tentang cinta tetapi perang, membunuh, memenggal kepala.",0,1,hebat bicara cinta pegang al alquran pedoman hidup al alquran bicara cinta perang bunuh penggal kepala,"['hebat', 'bicara', 'cinta', 'pegang', 'al', 'alquran', 'pedoman', 'hidup', 'al', 'alquran', 'bicara', 'cinta', 'perang', 'bunuh', 'penggal', 'kepala']"
"USER Cebong, kampret, dan unta juga tidak bersentuhan dengan laut'",0,1,cebong kampret unta sentuh laut,"['cebong', 'kampret', 'unta', 'sentuh', 'laut']"
"PENGGUNA PENGGUNA PENGGUNA Komunitas muslim mana yang Anda maksud?\nFPI? HTI? Mereka bukan muslim. Tapi penghujat Islam. Bajingan itu. Muslim tidak membuat masalah. Pengecut itu lari dari atas setelah disesatkan.\nApa itu Islam, apa itu Islam. Kebejatan apa itu Islam? Apakah Islam boleh membuat masalah?",0,1,komunitas muslim maksud front bela islam hati muslim hujat islam bajing muslim kecut lari sesat islam islam bejat islam islam,"['komunitas', 'muslim', 'maksud', 'front', 'bela', 'islam', 'hati', 'muslim', 'hujat', 'islam', 'bajing', 'muslim', 'kecut', 'lari', 'sesat', 'islam', 'islam', 'bejat', 'islam', 'islam']"
"PENGGUNA PENGGUNA Pemenangnya adalah tuanmu, kamu bajingan 212'",0,1,menang tuan bajing 212,"['menang', 'tuan', 'bajing', '212']"
"Fahri Hamzah: Andai Saya Ketua KPK, Saya Akan Bubarkan URL-nya",0,1,fahri hamzah andai ketua komisi berantas korupsi bubar uniform resource locator nya,"['fahri', 'hamzah', 'andai', 'ketua', 'komisi', 'berantas', 'korupsi', 'bubar', 'uniform', 'resource', 'locator', 'nya']"
USER USER USER orang kafir haram menjadi pemimpin nyet',0,1,orang kafir haram pimpin monyet,"['orang', 'kafir', 'haram', 'pimpin', 'monyet']"
RT PENGGUNA Bubarkan DPR.. SAVEKPK,0,1,bubar dewan wakil rakyat save komisi berantas korupsi,"['bubar', 'dewan', 'wakil', 'rakyat', 'save', 'komisi', 'berantas', 'korupsi']"
USER USER USER USER USER USER USER USER USER USER USER Mengapa Komunis berlatar belakang PKI? Kecoa makan kecoa kan?',0,1,komunis latar partai komunis indonesia kecoa makan kecoa,"['komunis', 'latar', 'partai', 'komunis', 'indonesia', 'kecoa', 'makan', 'kecoa']"
"USER USER Itu biadab, dasar petugas bajingan'",0,1,biadab dasar tugas bajing,"['biadab', 'dasar', 'tugas', 'bajing']"
"Kami balas di sini, bagaimana kami bisa mengusir Buddha"" USER: Kurang ajar, Etnis Muslim Rohingya Dikecualikan dari Data Sensus Penduduk Myanmar",0,1,balas usir buddha ajar etnis muslim rohingya kecuali data sensus duduk myanmar,"['balas', 'usir', 'buddha', 'ajar', 'etnis', 'muslim', 'rohingya', 'kecuali', 'data', 'sensus', 'duduk', 'myanmar']"
PENGGUNA RT: Ustadz PKS Yudi Widiana mencuri uang dari santri bahasa agama Juz &amp; Liqo Felix Kwetiauw &amp; alumni 212 di mingkem &amp; pura-pura jadi budek..giliran bu\xe2\x80\xa6',0,1,ustaz partai adil sejahtera yudi widiana curi uang santri bahasa agama juz amp liqo felix kwetiau amp alumni 212 diam amp pura pura budek gilir bu,"['ustaz', 'partai', 'adil', 'sejahtera', 'yudi', 'widiana', 'curi', 'uang', 'santri', 'bahasa', 'agama', 'juz', 'amp', 'liqo', 'felix', 'kwetiau', 'amp', 'alumni', '212', 'diam', 'amp', 'pura', 'pura', 'budek', 'gilir', 'bu']"
Kalahkan Ndan... hancurkan URL PKI,0,1,kalah hancur uniform resource locator partai komunis indonesia,"['kalah', 'hancur', 'uniform', 'resource', 'locator', 'partai', 'komunis', 'indonesia']"
"USER Mungkin masih banyak orang Tionghoa yang lebih Pancasialis dari Wong Jowo, asal jangan dibeberkan, contoh nyatanya adalah Pak Kwik, Ekonom dan Ustadz Felix Siauw \xf0\x9f\x98\x85'",0,1,orang tionghoa pancasialis orang jawa beber contoh nyata kwik ekonom ustaz felix siauw,"['orang', 'tionghoa', 'pancasialis', 'orang', 'jawa', 'beber', 'contoh', 'nyata', 'kwik', 'ekonom', 'ustaz', 'felix', 'siauw']"
Ibarat negara selingkuh anak SD... Dokumennya hilang... Fiuh...,0,1,negara selingkuh anak sekolah dasar dokumen hilang fiuh,"['negara', 'selingkuh', 'anak', 'sekolah', 'dasar', 'dokumen', 'hilang', 'fiuh']"
"Allah SWT yang disembah itu bodoh & biadab, percuma saja",0,1,allah subhanahu wa taala sembah bodoh biadab,"['allah', 'subhanahu', 'wa', 'taala', 'sembah', 'bodoh', 'biadab']"
"Orang Cina lagi.. Orang Cina lagi.. Lebih baik mereka diusir saja, kan? Itu merusak pekerjaannya.",0,1,orang cina orang cina usir rusak kerja,"['orang', 'cina', 'orang', 'cina', 'usir', 'rusak', 'kerja']"
USER Ayo masyarakat Indonesia bersihkan etnis Tionghoa Ahok,0,1,ayo masyarakat indonesia sih etnis tionghoa ahok,"['ayo', 'masyarakat', 'indonesia', 'sih', 'etnis', 'tionghoa', 'ahok']"
"Anda DIDUGA Islam, Quran mengajarkan maksiat PENGGUNA Ansor Sebagai sebuah agama, Islam memiliki posisi moral tersendiri",0,1,duga islam alquran ajar maksiat ansor buah agama islam milik posisi moral,"['duga', 'islam', 'alquran', 'ajar', 'maksiat', 'ansor', 'buah', 'agama', 'islam', 'milik', 'posisi', 'moral']"
"PENGGUNA Cebong dikasih fakta, dia bohong, Cebong dikasih kebohongan, katanya kenyataan, Cebong bikin deg-degan\xf0\x9f\x98\x82""",0,1,cebong kasih fakta bohong cebong kasih bohong nyata cebong bikin deg degan,"['cebong', 'kasih', 'fakta', 'bohong', 'cebong', 'kasih', 'bohong', 'nyata', 'cebong', 'bikin', 'deg', 'degan']"
USER USER USER Masyarakat Bani Cebong',0,1,masyarakat bani cebong,"['masyarakat', 'bani', 'cebong']"
"Apa yang diinginkan oleh orang-orang yang paling saleh dan suci ini? \n\nPenghina presiden dibebaskan karena masih di bawah umur dan mengeluh tidak ditahan karena China.\n\nKalau ditahan, mungkin pemerintah akan mengeluh ingin kembali ke Orde Baru .\n\nNjuk geleme piye, kan?'",0,1,orang orang saleh suci hina presiden bebas umur keluh tahan cina tahan perintah keluh orde njuk,"['orang', 'orang', 'saleh', 'suci', 'hina', 'presiden', 'bebas', 'umur', 'keluh', 'tahan', 'cina', 'tahan', 'perintah', 'keluh', 'orde', 'njuk']"
"PENGGUNA RT: Uh, ada jurnalis Selandia Baru Rasa Kampret dan berita yang dibuat oleh Kampret dibagikan di WAG. Konferensi Pers tidak diadakan\xe2\x80\xa6'",0,1,uh jurnalis selandia kampret berita kampret kasih konferensi pers,"['uh', 'jurnalis', 'selandia', 'kampret', 'berita', 'kampret', 'kasih', 'konferensi', 'pers']"
