Tweet,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,Cleaned_Tweet,Tweet_list
"PENGGUNA PENGGUNA PENGGUNA Hahahaha gila ngomongnya bro..??\nMakanya jangan banyak ngomong nanti otakmu kehabisan tenaga...\nNgomong-ngomong soal muslim yang nggak penting, kamu ini muslim yang bego, lho...babi.'",1,0,0,0,0,haha orang gila bicara cak micin biar otak encer cong bicara ngawur muslim muslim silit tau babi,"['haha', 'orang', 'gila', 'bicara', 'cak', 'micin', 'biar', 'otak', 'encer', 'cong', 'bicara', 'ngawur', 'muslim', 'muslim', 'silit', 'tau', 'babi']"
"PENGGUNA PENGGUNA PENGGUNA Muslim yang mana yang Anda maksud??\nFPI? HTI? Mereka bukan Muslim. Tetapi mereka adalah penghujat Islam. Mereka bajingan. Muslim tidak mungkin membuat masalah. Pengecut lari dari tugas setelah bersikap cabul.\nApa itu Islam, apa itu Islam. Apa itu Islam dalam hal bersikap cabul? Apakah membuat masalah adalah Islam?",1,0,0,1,0,umat islam maksud front bela islam hati muslim nista islam bajing muslim onar kecut lari mesum islam islam gilir mesum islam onar islam,"['umat', 'islam', 'maksud', 'front', 'bela', 'islam', 'hati', 'muslim', 'nista', 'islam', 'bajing', 'muslim', 'onar', 'kecut', 'lari', 'mesum', 'islam', 'islam', 'gilir', 'mesum', 'islam', 'onar', 'islam']"
"Wah akun ini berhasil mengelabui komunitas 212 yang membuat komunitasnya sendiri dengan mengatakan bahwa Jokowi ANTI ISLAM, lol :)",1,0,0,0,0,nih akun hasil bodoh kaum 212 bikin kaum kaum biar jokowi anti islam wkwk,"['nih', 'akun', 'hasil', 'bodoh', 'kaum', '212', 'bikin', 'kaum', 'kaum', 'biar', 'jokowi', 'anti', 'islam', 'wkwk']"
"PENGGUNA PENGGUNA PENGGUNA orang kafir dilarang menjadi pemimpin, nyet'",1,0,0,0,0,kafir haram pimpin monyet,"['kafir', 'haram', 'pimpin', 'monyet']"
"Kami membalas di sini bagaimana kami mengusir Buddha ""USER: Kelompok Etnis Muslim Rohingya yang Kurang Ajar Dihapus dari Data Sensus Penduduk Myanmar",1,0,0,0,0,balas usir buddha ajar etnis muslim rohingya singkir data sensus duduk myanmar,"['balas', 'usir', 'buddha', 'ajar', 'etnis', 'muslim', 'rohingya', 'singkir', 'data', 'sensus', 'duduk', 'myanmar']"
RT USER: Ustadz PKS Yudi Widiana curi duit santri bahasa agama Juz & Liqo Felix Kwetiauw & alumni 212 di mingkem & pura-pura budek..giliran mba\xe2\x80\xa6',1,0,0,0,0,ustaz partai adil sejahtera yudi widiana tilap duit bahasa agama juz amp liqo felix kwetiau amp alumni 212 diam amp pura pura budek gilir bu,"['ustaz', 'partai', 'adil', 'sejahtera', 'yudi', 'widiana', 'tilap', 'duit', 'bahasa', 'agama', 'juz', 'amp', 'liqo', 'felix', 'kwetiau', 'amp', 'alumni', '212', 'diam', 'amp', 'pura', 'pura', 'budek', 'gilir', 'bu']"
"Allah SWT yang disembah itu bodoh dan biadab, tidak ada gunanya",1,0,0,0,0,allah subhanahu wa taala sembah dungu biadab ya,"['allah', 'subhanahu', 'wa', 'taala', 'sembah', 'dungu', 'biadab', 'ya']"
"Anda DIDUGA Islam, Quran Ajarkan Kebejatan PENGGUNA Ansor Sebagai sebuah agama, Islam memiliki kedudukan moral tersendiri",1,0,0,0,0,dungu islam alquran ajar amoral ansor agama islam posisi moral,"['dungu', 'islam', 'alquran', 'ajar', 'amoral', 'ansor', 'agama', 'islam', 'posisi', 'moral']"
PENGGUNA PENGGUNA PENGGUNA Kamu bodoh sekali? Di mana kamu belajar Al-Quran jika Islam seperti itu? Orang ini ketahuan belajar Al-Quran dengan orang yang tidak bisa dimengerti ini?,1,0,0,0,0,tolol aji agama islam sp i orang aji orang,"['tolol', 'aji', 'agama', 'islam', 'sp', 'i', 'orang', 'aji', 'orang']"
PENGGUNA PENGGUNA Orang Cina kafir ini... Dasar bajingan!! Dasar komunis!!',1,1,0,0,0,cina kafir bangsat dasar komunis,"['cina', 'kafir', 'bangsat', 'dasar', 'komunis']"
"Ajaklah seluruh umat Islam untuk mencari tahu siapakah sebenarnya Muhammad, agar dia tidak mempersulit penis bangsa ini untuk bisa masuk dengan nyaman.",1,0,0,1,0,ajak muslim cari muhammad enak enak cocok cocok penis bangsa susah,"['ajak', 'muslim', 'cari', 'muhammad', 'enak', 'enak', 'cocok', 'cocok', 'penis', 'bangsa', 'susah']"
Bagaimana perasaan Walubi jika umat Budha di Indonesia diusir dan dibantai???,1,0,0,0,0,asa walubi umat buddha indonesia usir bantai,"['asa', 'walubi', 'umat', 'buddha', 'indonesia', 'usir', 'bantai']"
"Apakah berkat shalat dan mengaji ataukah berkat mempelajari ilmu yang dikembangkan oleh orang-orang kafir, Pak Lukman?",1,0,0,0,0,berkat salat aji berkat ajar ilmu kembang kafir lukman,"['berkat', 'salat', 'aji', 'berkat', 'ajar', 'ilmu', 'kembang', 'kafir', 'lukman']"
"Mengapa hanya orang Tionghoa non-Muslim yang dibantai? PENGGUNA juga orang Tionghoa, usir dia juga.",1,1,0,0,0,cina non muslim bantai sih cina usir,"['cina', 'non', 'muslim', 'bantai', 'sih', 'cina', 'usir']"
"Orang ini tidak mengenal Islam, tetapi dia sombong dan suka membanggakan diri.; ; Ucapan Jokowi sesuai dengan ayat Al Quran: Allah tidak akan mengubah nasib suatu kaum, kecuali kaum itu sendiri yang mengubahnya. ; ; Kalau mau ganti presiden, rakyat sendiri yang harus mengubahnya. Baru Allah yang akan mengubahnya. Kemauan rakyat dulu,",1,0,0,0,0,orang tau islam belaga bunyi pidato jokowi sesuai ayat qur an allah ubah nasib kaum kecuali ubah ganti presiden rakyat ganti tuhan ganti rakyat,"['orang', 'tau', 'islam', 'belaga', 'bunyi', 'pidato', 'jokowi', 'sesuai', 'ayat', 'qur', 'an', 'allah', 'ubah', 'nasib', 'kaum', 'kecuali', 'ubah', 'ganti', 'presiden', 'rakyat', 'ganti', 'tuhan', 'ganti', 'rakyat']"
Pengguna Pengguna,1,0,0,0,0,sih dakwa nista agama alias sih ahok babi jamban morfin uang rakyat jaka a,"['sih', 'dakwa', 'nista', 'agama', 'alias', 'sih', 'ahok', 'babi', 'jamban', 'morfin', 'uang', 'rakyat', 'jaka', 'a']"
"PENGGUNA Bapak PENGGUNA sebelum anda menjelaskan, Al Quran hanyalah kitab sampah yang berbahaya, kekacauan terus terjadi",1,0,0,0,0,alquran kitab sampah bahaya kacau,"['alquran', 'kitab', 'sampah', 'bahaya', 'kacau']"
"Anggota DPR ini unjuk gigi betapa BODOH & BARATIKNYA Islam, Al Quran perintahkan pemenggalan kepala orang kafir, dia lakukan, dia bisa bilang HAM",1,0,0,0,0,anggota dewan wakil rakyat pamer dungu biadab islam alquran merintahkan penggal kafir laksana bilang ham,"['anggota', 'dewan', 'wakil', 'rakyat', 'pamer', 'dungu', 'biadab', 'islam', 'alquran', 'merintahkan', 'penggal', 'kafir', 'laksana', 'bilang', 'ham']"
"USER mau bukti RADIKAL HTI dan FPI?!; apa tidak cukup bukti dalam setiap ucapan HTI dan FPI yang selalu memfitnah dan menghina pemerintah, POLISI bahkan ULAMA'/KYAI-KYAI!!!; pada dasarnya otak bebek pura-pura buta dan tuli dengan otak penuh junj",1,0,1,0,0,bukti radikal an hati front bela islam bukti orasi orasi hati front bela islam fitnah caci maki hadap perintah polisi republik indonesia ulama kiai kiai dasar otak bebek pura pura buta tuli isi otak junj,"['bukti', 'radikal', 'an', 'hati', 'front', 'bela', 'islam', 'bukti', 'orasi', 'orasi', 'hati', 'front', 'bela', 'islam', 'fitnah', 'caci', 'maki', 'hadap', 'perintah', 'polisi', 'republik', 'indonesia', 'ulama', 'kiai', 'kiai', 'dasar', 'otak', 'bebek', 'pura', 'pura', 'buta', 'tuli', 'isi', 'otak', 'junj']"
Bahas Islam yang menghancurkan nilai-nilai USER penguatan karakter melalui revitalisasi pendidikan nilai,1,0,0,0,0,bahas islam rusak nilai kuat karakter revitalisasi didik nilai,"['bahas', 'islam', 'rusak', 'nilai', 'kuat', 'karakter', 'revitalisasi', 'didik', 'nilai']"
PENGGUNA RT: PENGGUNA Burma dan Buddha adalah teroris yang sebenarnya,1,0,0,0,0,burma buddha teroris,"['burma', 'buddha', 'teroris']"
"PENGGUNA Maraknya orang-orang berpikiran sempit masuk ke Indonesia hanyalah pengalihan perhatian. Hatinya sebenarnya tertuju kepada Syiah Rafidhah, akar penyebab semua pemberontakan/kudeta di negara-negara Ahlussunnah Muslim di dunia.",1,1,0,0,0,marak orang sipit masuk indonesia alih hati syiah ah rafidhah biang kerok ronta kudeta negara muslim ahlusunah dunia,"['marak', 'orang', 'sipit', 'masuk', 'indonesia', 'alih', 'hati', 'syiah', 'ah', 'rafidhah', 'biang', 'kerok', 'ronta', 'kudeta', 'negara', 'muslim', 'ahlusunah', 'dunia']"
"PENGGUNA Sungguh ""rezim KOPLAK..Indonesia sedang sekarat..umat Islam sedang dipecah belah"" oleh Allah SWT..antara kaum muslimin dan kaum munafiqun.",1,0,0,0,0,sungguh rezim kocak indonesia sekarat umat muslim pilah allah subhanahu wa taala golong muslimin munafik,"['sungguh', 'rezim', 'kocak', 'indonesia', 'sekarat', 'umat', 'muslim', 'pilah', 'allah', 'subhanahu', 'wa', 'taala', 'golong', 'muslimin', 'munafik']"
Mengapa harus menggunakan bahasa Arab? Bukankah Tuhan Yang Maha Esa menurut Pancasila berbahasa Indonesia?,1,0,0,0,0,bahasa arab tuhan maha esa pancasila bahasa indonesia,"['bahasa', 'arab', 'tuhan', 'maha', 'esa', 'pancasila', 'bahasa', 'indonesia']"
"PENGGUNA Tuan USER membuang Islam mungkin menyakitkan, tetapi itu harus dilakukan demi kebaikan seluruh umat manusia.",1,0,0,0,0,buang islam sakit laku manusia,"['buang', 'islam', 'sakit', 'laku', 'manusia']"
"PENGGUNA PENGGUNA Ridwal Kamil memang hebat dan top, tidak seperti Ahok, seorang penghujat dan koruptor",1,0,0,0,0,ridwan kamil hebat top kayak ahok tukang nista agama koruptor,"['ridwan', 'kamil', 'hebat', 'top', 'kayak', 'ahok', 'tukang', 'nista', 'agama', 'koruptor']"
"PENGGUNA Tn. PENGGUNA Umat Islam selalu mengatakan kebenaran datangnya dari Allah SWT, yang mana? Muhammad adalah seorang nabi yang korup?",1,0,0,0,0,muslim allah subhanahu wa taala muhammad bejat nabi,"['muslim', 'allah', 'subhanahu', 'wa', 'taala', 'muhammad', 'bejat', 'nabi']"
"PENGGUNA Tuan PENGGUNA untuk secara efektif melenyapkan Teroris Islam, harus dijelaskan bahwa Al-Quran adalah kitab teroris.",1,0,0,0,0,hapus teroris islam efektif alquran kitab teroris,"['hapus', 'teroris', 'islam', 'efektif', 'alquran', 'kitab', 'teroris']"
Percayalah kepada Allah SWT siapa yang bodoh dan biadab? Kalian yang membodohi dan membiadabkan bangsa,1,0,0,0,0,iman allah subhanahu wa taala dungu biadab dungu biadab bangsa,"['iman', 'allah', 'subhanahu', 'wa', 'taala', 'dungu', 'biadab', 'dungu', 'biadab', 'bangsa']"
"PENGGUNA PENGGUNA Jahahaha bodoh bodoh alay bodoh munafik, benar-benar jijik Iyuuhhh'",1,0,0,0,0,haha cebong kafir alay goblok munafik jijik banget ih,"['haha', 'cebong', 'kafir', 'alay', 'goblok', 'munafik', 'jijik', 'banget', 'ih']"
"Dasar bego, kamu nggak nonton acaranya tadi malam? Dia kan nggak bilang Islam itu fiksi, mana ada bukti videonya? Kamu muslim atau kafir? Kalau Islam itu keterlaluan, kamu hina sesama muslim kalau mereka kafir, nggak heran deh.",1,0,0,0,0,goblok nonton acara nya malam beliau islam fiksi bukti video nya islam kafir islam banget fitnah muslim kafir gue heran,"['goblok', 'nonton', 'acara', 'nya', 'malam', 'beliau', 'islam', 'fiksi', 'bukti', 'video', 'nya', 'islam', 'kafir', 'islam', 'banget', 'fitnah', 'muslim', 'kafir', 'gue', 'heran']"
"PENGGUNA PENGGUNA Siapa bilang jadi orang beriman itu susah banget?? Hahaha, sel otak lo belum nyambung ya? Susah jadi orang bego, bego juga. Kata orang ke mana-mana, mereka pake referensi internasional buat pake agama Islam. Hahaha ma",1,0,0,0,0,bilang kafir susah haha sel sel otak sambung ya susah kafir cebong orang bicara bicara maki agama islam pakai rujuk internasional haha,"['bilang', 'kafir', 'susah', 'haha', 'sel', 'sel', 'otak', 'sambung', 'ya', 'susah', 'kafir', 'cebong', 'orang', 'bicara', 'bicara', 'maki', 'agama', 'islam', 'pakai', 'rujuk', 'internasional', 'haha']"
"Isu Munir juga terkait dengan mengapa rezim Jokowi begitu anti-Islam. Setelah saya tweet, mudah-mudahan akan sejelas mungkin.",1,0,0,0,0,munir kait rezim jokowi anti islam twitkan moga,"['munir', 'kait', 'rezim', 'jokowi', 'anti', 'islam', 'twitkan', 'moga']"
"Kalau tidak ada unjuk rasa berjilid-jilid atas pernyataan USER bahwa kitab suci itu fiksi, maka hampir dapat dipastikan bahwa tujuan utama gerakan ""Bela Islam"" jilid versi 212 dst. adalah motif politik untuk menjatuhkan Ahok. Ahok sudah menjadi korban.",1,0,0,0,0,demo jilid jilid nyata kitab suci fiksi tuju utama gera bela islam jilid jilid versi 212 motif politik jatuh ahok ahok korban,"['demo', 'jilid', 'jilid', 'nyata', 'kitab', 'suci', 'fiksi', 'tuju', 'utama', 'gera', 'bela', 'islam', 'jilid', 'jilid', 'versi', '212', 'motif', 'politik', 'jatuh', 'ahok', 'ahok', 'korban']"
PENGGUNA PENGGUNA PENGGUNA PENGGUNA Akhirnya ketahuan... ngaku udah maksa orang masuk penjara... Bajingan berkedok agama,1,0,0,0,0,paksa orang penjara bajing kedok agama,"['paksa', 'orang', 'penjara', 'bajing', 'kedok', 'agama']"
"Setuju,,,kalau kita tidak ingin mengusir semua Budha di Indonesia...",1,0,0,0,0,tuju usir buddha indonesia,"['tuju', 'usir', 'buddha', 'indonesia']"
"Anda menghina Islam, Muhammad tidak tahu diri terhadap sukunya sendiri, mengajarkan sholat hanya untuk meminta pahala dari Allah SWT",1,0,0,0,0,hina islam muhammad budi hadap suku ajar salat pahala allah subhanahu wa taala,"['hina', 'islam', 'muhammad', 'budi', 'hadap', 'suku', 'ajar', 'salat', 'pahala', 'allah', 'subhanahu', 'wa', 'taala']"
"PENGGUNA Tuan USER, Islam harus dinyatakan sesat dan menyesatkan sesegera mungkin, tidak diperlukan lagi bank Islam.",1,0,0,0,0,cepat islam nyata sesat sesat bank syariat,"['cepat', 'islam', 'nyata', 'sesat', 'sesat', 'bank', 'syariat']"
Orang-orang setengah kafir dengan #JunkFoodBrains mereka masih berusaha lolos dengan menggunakan Islam sebagai sumber informasi untuk kegiatan-kegiatan yang merusak keyakinan Islam.,1,0,0,0,0,kaum 1 2 kafir otak junk food nya kelit catut islam giat giat rusak aqidah islam,"['kaum', '1', '2', 'kafir', 'otak', 'junk', 'food', 'nya', 'kelit', 'catut', 'islam', 'giat', 'giat', 'rusak', 'aqidah', 'islam']"
"PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA Alaaaahhhhh, aku sudah tahu ke mana arah pembicaraanmu... Mau pakai jalan tol tikungan 1000 pun, kamu tetap... Nggak usah pura-pura muslim, dasar tolol!!!'",1,0,0,0,0,alaaaahhhhh omong cebong arah pakai tol kelok 1000 sok sok islam bong,"['alaaaahhhhh', 'omong', 'cebong', 'arah', 'pakai', 'tol', 'kelok', '1000', 'sok', 'sok', 'islam', 'bong']"
"Kalian membodohi dan membinasakan bangsa dengan mengajak menyembah Allah SWT, kalian bodoh dan biadab.",1,0,0,0,0,dungu biadab bangsa ajak sembah sembah allah subhanahu wa taala dungu biadab,"['dungu', 'biadab', 'bangsa', 'ajak', 'sembah', 'sembah', 'allah', 'subhanahu', 'wa', 'taala', 'dungu', 'biadab']"
Ayat ini juga dikaji: potong kepala mereka dan penggal ujung jari mereka (8:12),1,0,0,0,0,ayat kaji pengga kepala pancung ujung jari 8 12,"['ayat', 'kaji', 'pengga', 'kepala', 'pancung', 'ujung', 'jari', '8', '12']"
"Jika saja Jendral Soeharto tidak ada pada tahun 1965, maka nasib bangsa Indonesia bisa jadi adalah negara komunis yang atheis. PENGGUNA PENGGUNA PENGGUNA",1,1,0,0,0,jend suha o 1965 nasib bangsa indonesia negara komunis ateis,"['jend', 'suha', 'o', '1965', 'nasib', 'bangsa', 'indonesia', 'negara', 'komunis', 'ateis']"
"Nabi Adam Fiksi, Nabi Ibrahim Fiksi, Nabi Musa Fiksi, Nabi Nuh Fiksi, Nabi Isa Fiksi, Dan para ulama terlihat bodoh karena memperingati Nuzul Quran setiap tahun, jika mereka mengikuti logika USER",1,0,0,0,0,nabi adam fiksi nabi ibrahim fiksi nabi musa fiksi nabi nuh fiksi nabi fiksi ulama lihat dungu nuzul alquran logika,"['nabi', 'adam', 'fiksi', 'nabi', 'ibrahim', 'fiksi', 'nabi', 'musa', 'fiksi', 'nabi', 'nuh', 'fiksi', 'nabi', 'fiksi', 'ulama', 'lihat', 'dungu', 'nuzul', 'alquran', 'logika']"
"Apalagi teriak Allah itu biadab, kuping Bung Fahri rusak, kapan pembahasan Penghapusan Islam di DPR?",1,0,0,0,0,teriak allah hu barbar rusak telinga fahri diskusi buang islam dewan wakil rakyat,"['teriak', 'allah', 'hu', 'barbar', 'rusak', 'telinga', 'fahri', 'diskusi', 'buang', 'islam', 'dewan', 'wakil', 'rakyat']"
PENGGUNA PENGGUNA Kafir yang menyamar. Pemakan babi. Mulutnya sama dengan tuannya yang ditolak PK.',1,0,0,0,0,kafir samar makan babi mulut junjung tolak,"['kafir', 'samar', 'makan', 'babi', 'mulut', 'junjung', 'tolak']"
"Rezim Jokowi (baca: rezim SBY jilid 3) telah melakukan berbagai hal untuk mendapatkan dukungan Republik. Isu-isu Islam radikal, terorisme Islam, ancaman ISIS, Islam Nusantara, LGBT, dan lain-lain telah digembar-gemborkan untuk meyakinkan kaum Republik AS bahwa presiden Indonesia berikutnya akan tetap berkuasa.",1,0,0,0,0,laku rezim jokowi baca rezim susilo bambang yudhoyono jilid 3 raih dukung republiken isu islam radikal terorisme islam ancam isis islam nusantara lgbt goreng republiken as presiden ri tang,"['laku', 'rezim', 'jokowi', 'baca', 'rezim', 'susilo', 'bambang', 'yudhoyono', 'jilid', '3', 'raih', 'dukung', 'republiken', 'isu', 'islam', 'radikal', 'terorisme', 'islam', 'ancam', 'isis', 'islam', 'nusantara', 'lgbt', 'goreng', 'republiken', 'as', 'presiden', 'ri', 'tang']"
