Tweet,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
RT USER USER Klonjotan kegirangan ngeliat junjungan &amp; idola loe satu per satu dipanggil Polisi t Politic_ID KaPolri,1,0,0,kelojot girang lihat junjung amp idola panggil polisi t politic id kepala polisi republik indonesia,"['kelojot', 'girang', 'lihat', 'junjung', 'amp', 'idola', 'panggil', 'polisi', 't', 'politic', 'id', 'kepala', 'polisi', 'republik', 'indonesia']"
RT USER: USER Memang yang membubarkan pki orba... Jadi cara perintahnya paling tepat. Melanjutkan! Memberantas PKI.,0,0,1,bubar partai komunis indonesia orde perintah berantas partai komunis indonesia,"['bubar', 'partai', 'komunis', 'indonesia', 'orde', 'perintah', 'berantas', 'partai', 'komunis', 'indonesia']"
"Padahal, hal inilah yang diinginkan masyarakat untuk mencopot Jokowi.",0,0,1,masyarakat copot jokowi,"['masyarakat', 'copot', 'jokowi']"
USER Kl dia kalah.. Pasti salah wasit.. Padahal dah pake isu hoax. Ulama 212. Saracen. Isu sara. Isu pki. Isu antek asing.. Semua dah goreng sampa hangus.. Ttp aja gak naik elektabilitaanya.. Salahnya?? Rakyat yg goblok y wowo? Atau km yg,1,0,0,kalah salah wasit pakai isu hoaks ulama 212 saracen isu sara isu partai komunis indonesia isu antek asing goreng sampa hangus elektabilitasnya salah rakyat goblok iya prabowo km,"['kalah', 'salah', 'wasit', 'pakai', 'isu', 'hoaks', 'ulama', '212', 'saracen', 'isu', 'sara', 'isu', 'partai', 'komunis', 'indonesia', 'isu', 'antek', 'asing', 'goreng', 'sampa', 'hangus', 'elektabilitasnya', 'salah', 'rakyat', 'goblok', 'iya', 'prabowo', 'km']"
RT PENGGUNA PENGGUNA PENGGUNA Tangkap Setnov yang tidak mampu bubarkan KPK!!,0,0,1,tangkap setya novanto bubar komisi berantas korupsi,"['tangkap', 'setya', 'novanto', 'bubar', 'komisi', 'berantas', 'korupsi']"
Kapan nih PDIP NASDEM bicara tegas GANYANG PKI!!! Koq jd membleh USER USER USER USER USER USER,0,0,1,nih partai demokrasi indonesia juang nasional demokrat bicara ganyang partai komunis indonesia memble,"['nih', 'partai', 'demokrasi', 'indonesia', 'juang', 'nasional', 'demokrat', 'bicara', 'ganyang', 'partai', 'komunis', 'indonesia', 'memble']"
"USER USER Bukan berarti kamu bodoh karena melontarkan kata-kata haha, otakmu tidak berfungsi, kamu salah mengucapkan kalimat, kamu berbicara tentang Islam. Kebanyakan berudu intoleran, sara, munafik, pemakan taik ahok, peminum rendeman kolor, bercampur air kencing unta hahaha'",1,0,0,bera i bodoh lontar haha otak fungsi salah kalimat bicara islam berudu intoleran sara munafik makan tai ahok minum rendam kolor campur air kencing unta haha,"['bera', 'i', 'bodoh', 'lontar', 'haha', 'otak', 'fungsi', 'salah', 'kalimat', 'bicara', 'islam', 'berudu', 'intoleran', 'sara', 'munafik', 'makan', 'tai', 'ahok', 'minum', 'rendam', 'kolor', 'campur', 'air', 'kencing', 'unta', 'haha']"
"USER USER USER USER Nih terakhir aku tanya lagi: Itu utang era Jokowi semua, bencong? Pasti mingkem lagi... si gembel warnet.... banci kaleng... \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3'",1,0,0,nih utang era jokowi bencong diam sih gembel warung internet banci kaleng,"['nih', 'utang', 'era', 'jokowi', 'bencong', 'diam', 'sih', 'gembel', 'warung', 'internet', 'banci', 'kaleng']"
"PENGGUNA HB bajingan, pergilah ke neraka, bajingan kecil, kamu tidak mau mati, kamu sudah tua dan kamu menyusahkan orang'",1,0,0,hb bajing pergi neraka bajing mati tua susah orang,"['hb', 'bajing', 'pergi', 'neraka', 'bajing', 'mati', 'tua', 'susah', 'orang']"
USER USER APAAN KALIAN BELEK ONTA\xf0\x9f\x98\xa4 NGOMONG GUE DARI BELAKANG KAAN\xf0\x9f\x94\xa8\xf0\x9f\x98\xa4',1,0,0,belek onta bicara gue,"['belek', 'onta', 'bicara', 'gue']"
PENGGUNA RT SBY ke-2...tidak berpura-pura menjadi orang yang paling tersakiti...,1,0,0,susilo bambang yudhoyono 2 pura pura orang sakit,"['susilo', 'bambang', 'yudhoyono', '2', 'pura', 'pura', 'orang', 'sakit']"
Rohingya kok seolah-olah dijadikan alat politik oleh prabowo,1,0,0,rohingya olah olah alat politik prabowo,"['rohingya', 'olah', 'olah', 'alat', 'politik', 'prabowo']"
PENGGUNA Setan terkutuk',1,0,0,setan kutuk,"['setan', 'kutuk']"
Anti-Islamisme Jokowi akan dipromosikan oleh lawan politik... buzzer dari rezim tersebut,1,0,0,anti islamisme jokowi promosi lawan politik buzzer rezim,"['anti', 'islamisme', 'jokowi', 'promosi', 'lawan', 'politik', 'buzzer', 'rezim']"
Cocot bosok.',1,0,0,cocot busuk,"['cocot', 'busuk']"
USER USER USER Slamet ndesomu nangdi met... cedak unahe lordmu yak e... kuclukk.... cebong cecek luuh..',1,0,0,selamat kampung selamat unahe lordmu ya e kucluk cebong cecek lu,"['selamat', 'kampung', 'selamat', 'unahe', 'lordmu', 'ya', 'e', 'kucluk', 'cebong', 'cecek', 'lu']"
"USER USER USER USER Loh bangsa cebong bangga kok dengan dirinya, sampai dibikinkan kaos dan logo segala, belum paham? Kalu kampret yang mana? Emang ada yang mengaku dan bangga disebut begitu?'",1,0,0,bangsa cebong bangga kaos logo paham kampret bangga,"['bangsa', 'cebong', 'bangga', 'kaos', 'logo', 'paham', 'kampret', 'bangga']"
PENGGUNA Heh su asu...sehat?',1,0,0,he su anjing sehat,"['he', 'su', 'anjing', 'sehat']"
"RT USER: USER Kualitas ustad kaya begini... Goblog banget, kebanyakan makan micin neh... Jokowi itu singkatan Joko Widodo.\xe2\x80\xa6'",1,0,0,kualitas ustad kayak goblok banget makan micin nih jokowi singkat joko widodo,"['kualitas', 'ustad', 'kayak', 'goblok', 'banget', 'makan', 'micin', 'nih', 'jokowi', 'singkat', 'joko', 'widodo']"
"USER USER USER Kasusnya SP3, BONG.. Tidak terbukti..\n\nHanya halu katak alias berudu..'",0,1,0,surat perintah henti sidi bong bukti halu katak alias berudu,"['surat', 'perintah', 'henti', 'sidi', 'bong', 'bukti', 'halu', 'katak', 'alias', 'berudu']"
USER Anda juga menginginkannya baru',1,0,0,nan,['nan']
USER USER USER USER USER Yakin deh yg pencitraan cuma jokowi,1,0,0,deh citra jokowi,"['deh', 'citra', 'jokowi']"
USER Brisek nanti kamu jadi autis',1,0,0,berisik autis,"['berisik', 'autis']"
"USER USER USER USER USER Primata tidak tahu diri, eh embrio kecebong, kamu dan keluarga, kalau dokumennya lengkap, aku yang bayar! Hei, idiot, jangan hanya memikirkan dirimu sendiri, lihatlah sekelilingmu, idiot! Bodoh!!!'",1,0,0,primata eh embrio kecebong keluarga dokumen lengkap bayar hai idiot pikir lihat keliling idiot bodoh,"['primata', 'eh', 'embrio', 'kecebong', 'keluarga', 'dokumen', 'lengkap', 'bayar', 'hai', 'idiot', 'pikir', 'lihat', 'keliling', 'idiot', 'bodoh']"
"Wajahmu kotor, penampilan dan perilaku selaras",1,0,0,wajah kotor tampil perilaku selaras,"['wajah', 'kotor', 'tampil', 'perilaku', 'selaras']"
"Yeu kunyuk mt aku tak balas, aku pura-pura suci, cuh'",1,0,0,jijik kunyuk mt balas pura pura suci cuh,"['jijik', 'kunyuk', 'mt', 'balas', 'pura', 'pura', 'suci', 'cuh']"
Mbak Sylviana please Anda sehat? #DebatFinalPilkadaJKT #perjuanganbelumselesai,1,0,0,mbak sylviana please sehat debat final pilih kepala daerah jakarta juang selesai,"['mbak', 'sylviana', 'please', 'sehat', 'debat', 'final', 'pilih', 'kepala', 'daerah', 'jakarta', 'juang', 'selesai']"
USER USER lu kan yg modar',1,0,0,modar,['modar']
"Apakah dgn pendapat keagamaan ini, ulama kt di MUI anti kebhinekaan atau ada yg menuduh utk mnghalangi si penista jd gubernur? #TahanPenista",1,0,0,agama ulama majelis ulama indonesia anti bineka tuduh halang sih nista gubernur tahan nista,"['agama', 'ulama', 'majelis', 'ulama', 'indonesia', 'anti', 'bineka', 'tuduh', 'halang', 'sih', 'nista', 'gubernur', 'tahan', 'nista']"
USER CHRIST DOG ASU JIAMPUT FUCKING FUCKING PICEK TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING PICEK TELEK PEJUH SIWUK KOTANG IDIOT FUCKING PICEK TELEK PEJUH SIWUK KOTANG SIWUK IDIOT FUCKING PICEK TELEK PEJUH SIWUK KOTANG IDIOT FUCKING PICEK TELEK PEJUH SIWUK K,0,1,0,christ dog anjing jembut fucking fucking picek tai pejuh siwuk kutang siwuk idiot fucking picek tai pejuh siwuk kutang idiot fucking picek tai pejuh siwuk kutang siwuk idiot fucking picek tai pejuh siwuk kutang idiot fucking picek tai pejuh siwuk k,"['christ', 'dog', 'anjing', 'jembut', 'fucking', 'fucking', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'fucking', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'idiot', 'fucking', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'siwuk', 'idiot', 'fucking', 'picek', 'tai', 'pejuh', 'siwuk', 'kutang', 'idiot', 'fucking', 'picek', 'tai', 'pejuh', 'siwuk', 'k']"
"USER Hindari PARPOL pelidung preman, penista agama, koruptor, pembohong, penjual aset negara, pengimpor kuli aseng doyan ngutang.'",0,1,0,hindar partai politik lindung preman nista agama koruptor bohong jual aset negara impor kuli asing suka utang,"['hindar', 'partai', 'politik', 'lindung', 'preman', 'nista', 'agama', 'koruptor', 'bohong', 'jual', 'aset', 'negara', 'impor', 'kuli', 'asing', 'suka', 'utang']"
DM saya tidak dibalas. Kredit Tai USER hilang wow 70r,0,1,0,direct message balas kredit tai hilang 70r,"['direct', 'message', 'balas', 'kredit', 'tai', 'hilang', '70r']"
Jika Wagub kyk gini Lengserkan PencitraanMeikarta USER USER USER USER USER USER USER,1,0,0,wakil gubernur kayak lengser pencitraanmeika a,"['wakil', 'gubernur', 'kayak', 'lengser', 'pencitraanmeika', 'a']"
"pemilihan kepala daerah DKI yg penuh intimidasi, hasilnya tetap sah ? Anies-Sandi kampanye janji-janji FALSU, BATALKAN pengangkatan Anies-Sandi !!!",0,0,1,pilih kepala daerah daerah khusus ibukota penuh intimidasi hasil sah anies sandi kampanye janji janji palsu batal angkat anies sandi,"['pilih', 'kepala', 'daerah', 'daerah', 'khusus', 'ibukota', 'penuh', 'intimidasi', 'hasil', 'sah', 'anies', 'sandi', 'kampanye', 'janji', 'janji', 'palsu', 'batal', 'angkat', 'anies', 'sandi']"
10 tahun SBY isu PKI nyari tdk ada. Baru 3 tahun jokowi simpatisan PKI sprti dapat kesempatan emas. URL,1,0,0,10 susilo bambang yudhoyono isu partai komunis indonesia cari 3 jokowi simpatisan partai komunis indonesia sp i emas uniform resource locator,"['10', 'susilo', 'bambang', 'yudhoyono', 'isu', 'partai', 'komunis', 'indonesia', 'cari', '3', 'jokowi', 'simpatisan', 'partai', 'komunis', 'indonesia', 'sp', 'i', 'emas', 'uniform', 'resource', 'locator']"
USER USER USER Ustad ini melihatnya pake pantat',1,0,0,ustad lihat pakai pantat,"['ustad', 'lihat', 'pakai', 'pantat']"
Banyak orang asing datang ke Indonesia... karena ingin memilih...; Ini bukan Tiongkok; #2019GantiPresiden ; #2019GantiPresiden ; #2019GantiPresiden,0,1,0,orang asing indonesia pilih tiongkok 2019 ganti presiden 2019 ganti presiden 2019 ganti presiden,"['orang', 'asing', 'indonesia', 'pilih', 'tiongkok', '2019', 'ganti', 'presiden', '2019', 'ganti', 'presiden', '2019', 'ganti', 'presiden']"
"USER USER USER USER USER Lu yg lebih dongo, suporter kok promosiin film wkwkwk sampe ikut berpolitik jga wkwkk #AingPersibAingPolitik'",1,0,0,dongok super er promosi film wkwk politik wkwk persib politik,"['dongok', 'super', 'er', 'promosi', 'film', 'wkwk', 'politik', 'wkwk', 'persib', 'politik']"
PENGGUNA PENGGUNA Hahahha ketahuan main di media sosial tapi bodoh...dasar kecebong PENGGUNA',1,0,0,haha main media sosial bodoh dasar kecebong,"['haha', 'main', 'media', 'sosial', 'bodoh', 'dasar', 'kecebong']"
"RT USER USER Semakin KPK menangkap Koruptor, semakin menunjukkan kegagalan KPK. Bubarkan polisi dan kejaksaan",0,0,1,komisi berantas korupsi tangkap koruptor gagal komisi berantas korupsi bubar polisi jaksa,"['komisi', 'berantas', 'korupsi', 'tangkap', 'koruptor', 'gagal', 'komisi', 'berantas', 'korupsi', 'bubar', 'polisi', 'jaksa']"
"Mari kita jaga lingkungan kita mendekati 30/S, jika ada kegiatan antek komunis laporkan ke Ulama dan TNI...!! Hancurkan PKI",0,0,1,mari jaga lingkung 30 si giat antek komunis lapor ulama tentara nasional indonesia hancur partai komunis indonesia,"['mari', 'jaga', 'lingkung', '30', 'si', 'giat', 'antek', 'komunis', 'lapor', 'ulama', 'tentara', 'nasional', 'indonesia', 'hancur', 'partai', 'komunis', 'indonesia']"
Beritanya BOHONG MULU nih pak jokowi URL,1,0,0,berita bohong mulu nih jokowi uniform resource locator,"['berita', 'bohong', 'mulu', 'nih', 'jokowi', 'uniform', 'resource', 'locator']"
"Jika ingin perdamaian di Indonesia, usir China dari Indonesia.",0,0,1,damai indonesia usir cina indonesia,"['damai', 'indonesia', 'usir', 'cina', 'indonesia']"
"USER untuk kesekian kalinya kehilangan respek terhadap agensi yang anda banggakan, terhadap artis yang anda banggakan. \nPerilaku Cat tai di hidupkan seperti ini. \n\nApakah Anda ingin memberikan uang kepada Lee Sooman? Ingin menampar Lamborghini dengan GD? dipadatkan ke material",0,1,0,sekian kali hilang respek hadap agens bangga hadap a is bangga perilaku cat tai hidup sepe i uang lee soo man tampar lamborghini gede padat material,"['sekian', 'kali', 'hilang', 'respek', 'hadap', 'agens', 'bangga', 'hadap', 'a', 'is', 'bangga', 'perilaku', 'cat', 'tai', 'hidup', 'sepe', 'i', 'uang', 'lee', 'soo', 'man', 'tampar', 'lamborghini', 'gede', 'padat', 'material']"
Mereka keji dan biadab. Hancurkan ideologi PKI dan komunis di URL NKRI,0,0,1,keji biadab hancur ideologi partai komunis indonesia komunis uniform resource locator negara republik indonesia,"['keji', 'biadab', 'hancur', 'ideologi', 'partai', 'komunis', 'indonesia', 'komunis', 'uniform', 'resource', 'locator', 'negara', 'republik', 'indonesia']"
PENGGUNA RT: babi cina... pencuri cina...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2,0,0,1,babi cina curi cina evictchina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,"['babi', 'cina', 'curi', 'cina', 'evictchina', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', '9y4hiwhjp2']"
RT USER: Boleh minta maaf tapi proses hukum tetap harus jalan. Kunyuk satu ini harus dikasih pelajaran supaya kedepannya dia bi\xe2\x80\xa6',1,0,0,maaf proses hukum jalan kunyuk kasih ajar bi,"['maaf', 'proses', 'hukum', 'jalan', 'kunyuk', 'kasih', 'ajar', 'bi']"
Cie Pak Anies juga pernah berfoto dg Ahok Berarti Dia Penista Agama juga dong URL,1,0,0,anies foto ahok bera i nista agama uniform resource locator,"['anies', 'foto', 'ahok', 'bera', 'i', 'nista', 'agama', 'uniform', 'resource', 'locator']"
PENGGUNA RT: babi cina... pencuri cina...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2,0,0,1,babi cina curi cina evictchina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,"['babi', 'cina', 'curi', 'cina', 'evictchina', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', '9y4hiwhjp2']"
USER USER USER USER Sangat Setuju! Bangsa Indonesia membutuhkan USER sebagai pahlawan nasionalis yang mengajarkan kita untuk mencintai NKRI. Kaum radikal pencinta urin unta yang biadab ini harus dilenyapkan! Kerja bagus,0,0,1,tuju bangsa indonesia butuh pahlawan nasionalis ajar cinta negara republik indonesia kaum radikal cinta urin unta biadab lenyap kerja bagus,"['tuju', 'bangsa', 'indonesia', 'butuh', 'pahlawan', 'nasionalis', 'ajar', 'cinta', 'negara', 'republik', 'indonesia', 'kaum', 'radikal', 'cinta', 'urin', 'unta', 'biadab', 'lenyap', 'kerja', 'bagus']"
"MAKAR TIDAK, HAPUS JOKOWI YA! Faizal Assegaf (Ketua Progres 98) Jutaan orang berdemonstrasi secara damai untuk? _",0,0,1,makar hapus jokowi ya faizal assegaf ketua progres 98 juta orang demonstrasi damai,"['makar', 'hapus', 'jokowi', 'ya', 'faizal', 'assegaf', 'ketua', 'progres', '98', 'juta', 'orang', 'demonstrasi', 'damai']"
"USER Bacot apanya, gue ngulang perkataan gue gegara lu budek'",1,0,0,bacot gue ulang gue gara gara budek,"['bacot', 'gue', 'ulang', 'gue', 'gara', 'gara', 'budek']"
USER goblok nih para alumni 212... sampah',0,1,0,goblok nih alumni 212 sampah,"['goblok', 'nih', 'alumni', '212', 'sampah']"
USER Tae sih ni orang :))',1,0,0,tai sih nih orang,"['tai', 'sih', 'nih', 'orang']"
KRISTEN membunuh di Afghanistan.,0,1,0,kristen bunuh afghanistan,"['kristen', 'bunuh', 'afghanistan']"
USER USER Komnasham sontoloyo',0,1,0,komisi nasional hak asasi manusia sontoloyo,"['komisi', 'nasional', 'hak', 'asasi', 'manusia', 'sontoloyo']"
Akankah Pak Lukman mengizinkan pencocokan penis dengan empat istri?,0,1,0,lukman izin cocok penis istri,"['lukman', 'izin', 'cocok', 'penis', 'istri']"
"Hei kunyuk USER, supaya ente paham ya? Prabowo Subianto jadi capres aja udah salah apalagi jadi presiden?! PS memang pas jadi capres abadi! URL",1,0,0,hai kunyuk paham ya prabowo subianto calon presiden salah presiden play station pas calon presiden abadi uniform resource locator,"['hai', 'kunyuk', 'paham', 'ya', 'prabowo', 'subianto', 'calon', 'presiden', 'salah', 'presiden', 'play', 'station', 'pas', 'calon', 'presiden', 'abadi', 'uniform', 'resource', 'locator']"
"RT USER USER Jika memang ingin melawan PKI yang tidak ada di Indonesia, bubarkan PDIP!!",0,0,1,lawan partai komunis indonesia indonesia bubar partai demokrasi indonesia juang,"['lawan', 'partai', 'komunis', 'indonesia', 'indonesia', 'bubar', 'partai', 'demokrasi', 'indonesia', 'juang']"
"USER USER USER Lain kali ga usah undang si Adian jd narsum lah ... kampungan,'",1,0,0,kali undang sih adi narasumber kampung,"['kali', 'undang', 'sih', 'adi', 'narasumber', 'kampung']"
Hm menyampah pula tengok live FB Paan Khair***din tu. Tak habis2 pusing pasal manifesto PH takde pentingkan agama. Golongan DAP tu ? Cina Kristian hey memang la dah namanya DAP bukan PAS. Eh geram pula aku. Lepas tu dok kata motif terbesar nak jadikan Sel,1,0,0,hem sampah tengok live facebook khair din habis habis pusing pasal manifesto ph agama golong dap cina kristiani he nama dap pas eh geram lepas dok motif nak sel,"['hem', 'sampah', 'tengok', 'live', 'facebook', 'khair', 'din', 'habis', 'habis', 'pusing', 'pasal', 'manifesto', 'ph', 'agama', 'golong', 'dap', 'cina', 'kristiani', 'he', 'nama', 'dap', 'pas', 'eh', 'geram', 'lepas', 'dok', 'motif', 'nak', 'sel']"
"menghafal banyak surah Alquran > Termasuk ayat: Melawan, membunuh dan memenggal kepala orang kafir dan juga ayat tentang mencocokkan penis.",0,1,0,hafal surah alquran masuk ayat lawan bunuh penggal kepala orang kafir ayat cocok penis,"['hafal', 'surah', 'alquran', 'masuk', 'ayat', 'lawan', 'bunuh', 'penggal', 'kepala', 'orang', 'kafir', 'ayat', 'cocok', 'penis']"
USER Mantap usir kaun cina dari karawang,0,0,1,mantap usir kaum cina karawang,"['mantap', 'usir', 'kaum', 'cina', 'karawang']"
PENGGUNA PENGGUNA GUA KENTANG SIALAN,1,0,0,gue kentang sial,"['gue', 'kentang', 'sial']"
"Bukan kebetulan kalau setelah Reformasi bergulir, hampir semua media di Indonesia dikuasai oleh non-Muslim & moral masyarakat makin hancur.",0,1,0,reformasi gulir media indonesia asai non muslim moral masyarakat hancur,"['reformasi', 'gulir', 'media', 'indonesia', 'asai', 'non', 'muslim', 'moral', 'masyarakat', 'hancur']"
"Pokoknya istri suruh beli santan, dia langsung diusir dari toko Mamak...fuck \xe2\x80\x94 Haih amin madnor ni URL",1,0,0,pokok istri suruh beli santan langsung usir toko mamak fuck haiz amin mandor nih uniform resource locator,"['pokok', 'istri', 'suruh', 'beli', 'santan', 'langsung', 'usir', 'toko', 'mamak', 'fuck', 'haiz', 'amin', 'mandor', 'nih', 'uniform', 'resource', 'locator']"
Wahai kader2 ku seng pekok dari P.B.C (partai bondo cocot) dr sabang sampai merauke..kader2 ku seng pekok ndewek wes kentean peluru pokoe isu TKA iki seng pling empuk gawe nyerang presiden..biasa e ndewek mangan enak di zmn pk jokowi saiki susah tuku lob,0,1,0,kader kader ku seng bodoh p b c ai harta cocot sabang merauke kader kader ku seng bodoh kentean peluru pokok isu tenaga kerja asing seng empuk kerja serang presiden e mangan enak zaman jokowi susah tuku lob,"['kader', 'kader', 'ku', 'seng', 'bodoh', 'p', 'b', 'c', 'ai', 'harta', 'cocot', 'sabang', 'merauke', 'kader', 'kader', 'ku', 'seng', 'bodoh', 'kentean', 'peluru', 'pokok', 'isu', 'tenaga', 'kerja', 'asing', 'seng', 'empuk', 'kerja', 'serang', 'presiden', 'e', 'mangan', 'enak', 'zaman', 'jokowi', 'susah', 'tuku', 'lob']"
PENGGUNA Apa obrolan Camel Yaman?,1,0,0,obrol camel yaman,"['obrol', 'camel', 'yaman']"
RT USER Jangan merasa magis dalam jubah kekuasaan. Jangan menunggu orang marah. Pemadam Kebakaran Setya Novanto Pemadam Kebakaran Ketua DPR,0,0,1,magis jubah kuasa tunggu orang marah madam bakar setya novanto madam bakar ketua dewan wakil rakyat,"['magis', 'jubah', 'kuasa', 'tunggu', 'orang', 'marah', 'madam', 'bakar', 'setya', 'novanto', 'madam', 'bakar', 'ketua', 'dewan', 'wakil', 'rakyat']"
USER USER KAMU LAH HOMO YG PALING SIAL BAJINGAN GOBLOK...KALAU TERLALU GIAN KAMU AMPUT ANJING DITEPI JALAN TU.....SEMOGA KAMU TERIMA BALASAN NYA NANTI...',1,0,0,homo sial bajing goblok gian amput anjing tepi jalan moga terima balas nya,"['homo', 'sial', 'bajing', 'goblok', 'gian', 'amput', 'anjing', 'tepi', 'jalan', 'moga', 'terima', 'balas', 'nya']"
PENGGUNA PENGGUNA Ya..tapi hati-hati..!!Antek komunis pandai berkamuflase..,0,1,0,ya hati hati antek komunis pandai kamuflase,"['ya', 'hati', 'hati', 'antek', 'komunis', 'pandai', 'kamuflase']"
USER USER Cebong yah cebong. Kamfrettt yah kaum anda yang cuma nyinyir ! Kaum pemalas !',0,1,0,cebong ya cebong kamfrettt ya kaum nyinyir kaum malas,"['cebong', 'ya', 'cebong', 'kamfrettt', 'ya', 'kaum', 'nyinyir', 'kaum', 'malas']"
